index,_id,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_uf
17,6494be310417200165ceeb81,2300150,Acarape,-4.22083,-38.7055,0,23,1231,85,America/Sao_Paulo,CE,Ceará
67,6494be310417200165ceeb85,2300507,Alcântaras,-3.58537,-40.5479,0,23,1309,88,America/Sao_Paulo,CE,Ceará
117,6494be310417200165cef86e,4300570,Alto Feliz,-29.3919,-51.3123,0,43,6045,51,America/Sao_Paulo,RS,Rio Grande do Sul
167,6494be310417200165cefbdc,3501905,Amparo,-22.7088,-46.772,0,35,6137,19,America/Sao_Paulo,SP,São Paulo
217,6494be310417200165cef59e,4101200,Antonina,-25.4386,-48.7191,0,41,7421,41,America/Sao_Paulo,PR,Paraná
267,6494be310417200165cef203,5101001,Araguaiana,-15.7291,-51.8341,0,51,9869,66,America/Porto_Velho,MT,Mato Grosso
317,6494be310417200165cefbe6,3502804,Araçatuba,-21.2076,-50.4401,0,35,6155,18,America/Sao_Paulo,SP,São Paulo
367,6494be310417200165cef87e,4301404,Arvorezinha,-28.8737,-52.1781,0,43,8527,51,America/Sao_Paulo,RS,Rio Grande do Sul
417,6494be310417200165ceee8b,3104908,Baependi,-21.957,-44.8874,0,31,4097,35,America/Sao_Paulo,MG,Minas Gerais
467,6494be310417200165cefa76,4202107,Barra Velha,-26.637,-48.6933,0,42,8041,47,America/Sao_Paulo,SC,Santa Catarina
517,6494be310417200165cef884,4301701,Barão de Cotegipe,-27.6208,-52.3798,0,43,8533,54,America/Sao_Paulo,RS,Rio Grande do Sul
567,6494be310417200165cee99a,1300607,Benjamin Constant,-4.37768,-70.0342,0,13,213,97,America/Rio_Branco,AM,Amazonas
617,6494be310417200165ceea0c,2903805,Boa Vista do Tupim,-12.6498,-40.6064,0,29,3375,75,America/Sao_Paulo,BA,Bahia
667,6494be310417200165cef336,2502300,Bom Sucesso,-6.44176,-37.9234,0,25,1947,83,America/Sao_Paulo,PB,Paraíba
717,6494be310417200165cef20c,5101902,Brasnorte,-12.1474,-57.9833,0,51,9873,66,America/Porto_Velho,MT,Mato Grosso
767,6494be310417200165ceecae,5203939,Buriti de Goiás,-16.1792,-50.4302,0,52,63,64,America/Sao_Paulo,GO,Goiás
817,6494be310417200165cef8a1,4303103,Cachoeirinha,-29.9472,-51.1016,0,43,8561,51,America/Sao_Paulo,RS,Rio Grande do Sul
867,6494be310417200165ceea22,2905503,Caldeirão Grande,-11.0208,-40.2956,0,29,3409,74,America/Sao_Paulo,BA,Bahia
917,6494be310417200165ceecbb,5204805,Campo Alegre de Goiás,-17.6363,-47.7768,0,52,9295,64,America/Sao_Paulo,GO,Goiás
967,6494be310417200165ceea2a,2906303,Canavieiras,-15.6722,-38.9536,0,29,3425,73,America/Sao_Paulo,BA,Bahia
1017,6494be310417200165ceeedf,3112604,Capinópolis,-18.6862,-49.5706,0,31,4251,34,America/Sao_Paulo,MG,Minas Gerais
1067,6494be310417200165ceeba3,2303006,Caridade,-4.22514,-39.1912,0,23,1359,85,America/Sao_Paulo,CE,Ceará
1117,6494be310417200165cef8c1,4304952,Caseiros,-28.2582,-51.6861,0,43,8441,54,America/Sao_Paulo,RS,Rio Grande do Sul
1167,6494be310417200165ceebac,2303808,Cedro,-6.60034,-39.0609,0,23,1375,88,America/Sao_Paulo,CE,Ceará
1217,6494be310417200165ceea3d,2907707,Chorrochó,-8.9695,-39.0979,0,29,3453,75,America/Sao_Paulo,BA,Bahia
1267,6494be310417200165cef82f,1100064,Colorado do Oeste,-13.1174,-60.5454,0,11,23,69,America/Porto_Velho,RO,Rondônia
1317,6494be310417200165ceef1f,3118205,Conquista,-19.9312,-47.5492,0,31,4363,34,America/Sao_Paulo,MG,Minas Gerais
1367,6494be310417200165cefa9f,4204558,Correia Pinto,-27.5877,-50.3614,0,42,8395,49,America/Sao_Paulo,SC,Santa Catarina
1417,6494be310417200165cefe77,1706258,Crixás do Tocantins,-11.0994,-48.9152,0,17,82,63,America/Sao_Paulo,TO,Tocantins
1467,6494be310417200165cef4f5,2203255,Curralinhos,-5.60825,-42.8376,0,22,310,86,America/Sao_Paulo,PI,Piauí
1517,6494be310417200165cef35f,2505600,Diamante,-7.41738,-38.2615,0,25,2013,83,America/Sao_Paulo,PB,Paraíba
1567,6494be310417200165cef8ec,4306551,Dom Pedro de Alcântara,-29.3639,-49.853,0,43,976,51,America/Sao_Paulo,RS,Rio Grande do Sul
1617,6494be310417200165cefc6d,3514924,Elisiário,-21.1678,-49.1146,0,35,2975,17,America/Sao_Paulo,SP,São Paulo
1667,6494be310417200165ceef66,3124302,Espinosa,-14.9249,-42.809,0,31,4485,38,America/Sao_Paulo,MG,Minas Gerais
1717,6494be310417200165cef908,4308078,Fazenda Vilanova,-29.5885,-51.8217,0,43,984,51,America/Sao_Paulo,RS,Rio Grande do Sul
1767,6494be310417200165cef500,2203859,Floresta do Piauí,-7.46682,-41.7883,0,22,314,89,America/Sao_Paulo,PI,Piauí
1817,6494be310417200165ceebbc,2304509,Frecheirinha,-3.75557,-40.818,0,23,1391,88,America/Sao_Paulo,CE,Ceará
1867,6494be310417200165ceebbd,2304608,General Sampaio,-4.04351,-39.454,0,23,1393,85,America/Sao_Paulo,CE,Ceará
1917,6494be310417200165ceef90,3127701,Governador Valadares,-18.8545,-41.9555,0,31,4553,33,America/Sao_Paulo,MG,Minas Gerais
1967,6494be310417200165cefabc,4206504,Guaramirim,-26.4688,-49.0026,0,42,8127,47,America/Sao_Paulo,SC,Santa Catarina
2017,6494be310417200165cef921,4309555,Harmonia,-29.5456,-51.4185,0,43,8403,51,America/Sao_Paulo,RS,Rio Grande do Sul
2067,6494be310417200165cef61d,4109807,Ibiporã,-23.2659,-51.0522,0,41,7591,43,America/Sao_Paulo,PR,Paraná
2117,6494be310417200165cef92c,4310108,Igrejinha,-29.5693,-50.7919,0,43,8703,51,America/Sao_Paulo,RS,Rio Grande do Sul
2167,6494be310417200165cef36d,2506806,Ingá,-7.28144,-35.605,0,25,2037,83,America/Sao_Paulo,PB,Paraíba
2217,6494be310417200165ceea87,2914109,Ipupiara,-11.8219,-42.6179,0,29,3583,77,America/Sao_Paulo,BA,Bahia
