index,_id,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_uf
36,6494be310417200165cef3f8,2600203,Afrânio,-8.51136,-41.0095,0,26,2303,87,America/Sao_Paulo,PE,Pernambuco
86,6494be310417200165cee9e7,2900900,Almadina,-14.7089,-39.6415,0,29,3317,73,America/Sao_Paulo,BA,Bahia
136,6494be310417200165cefbd4,3501152,Alumínio,-23.5306,-47.2546,0,35,3065,11,America/Sao_Paulo,SP,São Paulo
186,6494be310417200165cef1ae,5000708,Anastácio,-20.4823,-55.8104,0,50,9013,67,America/Porto_Velho,MS,Mato Grosso do Sul
236,6494be310417200165ceec9a,5201454,Aparecida do Rio Doce,-18.2941,-51.1516,0,52,71,64,America/Sao_Paulo,GO,Goiás
286,6494be310417200165cefe5a,1702307,Arapoema,-7.65463,-49.0637,0,17,9245,63,America/Sao_Paulo,TO,Tocantins
336,6494be310417200165cefbef,3503505,Areias,-22.5786,-44.6992,0,35,6169,12,America/Sao_Paulo,SP,São Paulo
386,6494be310417200165ceec42,3200706,Atilio Vivacqua,-20.913,-41.1986,0,32,5613,28,America/Sao_Paulo,ES,Espírito Santo
436,6494be310417200165cef5ab,4102307,Balsa Nova,-25.5804,-49.6291,0,41,7443,41,America/Sao_Paulo,PR,Paraná
486,6494be310417200165cef887,4301875,Barra do Quaraí,-30.2029,-57.5497,0,43,956,55,America/Sao_Paulo,RS,Rio Grande do Sul
536,6494be310417200165cef1b8,5002100,Bela Vista,-22.1073,-56.5263,0,50,9041,67,America/Porto_Velho,MS,Mato Grosso do Sul
586,6494be310417200165cef40a,2601904,Bezerros,-8.2328,-35.796,0,26,2337,81,America/Sao_Paulo,PE,Pernambuco
636,6494be310417200165cefa7d,4202503,Bom Jardim da Serra,-28.3377,-49.6373,0,42,8389,49,America/Sao_Paulo,SC,Santa Catarina
686,6494be310417200165cef898,4302451,Boqueirão do Leão,-29.3046,-52.4284,0,43,8483,51,America/Sao_Paulo,RS,Rio Grande do Sul
736,6494be310417200165ceeda2,2102150,Brejo de Areia,-4.334,-45.581,0,21,132,98,America/Sao_Paulo,MA,Maranhão
786,6494be310417200165cef33d,2503100,Cabaceiras,-7.48899,-36.287,0,25,1963,83,America/Sao_Paulo,PB,Paraíba
836,6494be310417200165cefc2a,3508801,Cafelândia,-21.8031,-49.6092,0,35,6277,14,America/Sao_Paulo,SP,São Paulo
886,6494be310417200165cef5c4,4103800,Cambira,-23.589,-51.5792,0,41,7473,43,America/Sao_Paulo,PR,Paraná
936,6494be310417200165cef4dd,2202208,Campo Maior,-4.8217,-42.1641,0,22,1043,86,America/Sao_Paulo,PI,Piauí
986,6494be310417200165cefc3b,3510153,Canitar,-23.004,-49.7839,0,35,2947,14,America/Sao_Paulo,SP,São Paulo
1036,6494be310417200165cef8b6,4304630,Capão da Canoa,-29.7642,-50.0282,0,43,8915,51,America/Sao_Paulo,RS,Rio Grande do Sul
1086,6494be310417200165ceeef2,3114402,Carmo do Rio Claro,-20.9736,-46.1149,0,31,4287,35,America/Sao_Paulo,MG,Minas Gerais
