index,_id,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_uf
2,6494be310417200165ceec88,5200100,Abadiânia,-16.197,-48.7057,0,52,9201,62,America/Sao_Paulo,GO,Goiás
52,6494be310417200165ceee61,3101201,Aiuruoca,-21.9736,-44.6042,0,31,4023,35,America/Sao_Paulo,MG,Minas Gerais
102,6494be310417200165cef593,4100459,Altamira do Paraná,-24.7983,-52.7128,0,41,8455,44,America/Sao_Paulo,PR,Paraná
152,6494be310417200165cee9cf,1600105,Amapá,2.05267,-50.7957,0,16,601,96,America/Sao_Paulo,AP,Amapá
202,6494be310417200165cef4b8,2200608,Angical do Piauí,-6.08786,-42.74,0,22,1011,86,America/Sao_Paulo,PI,Piauí
252,6494be310417200165cefb7d,2800209,Aquidabã,-10.278,-37.0148,0,28,3103,79,America/Sao_Paulo,SE,Sergipe
302,6494be310417200165ceeb8f,2301307,Araripe,-7.21319,-40.1359,0,23,1325,88,America/Sao_Paulo,CE,Ceará
352,6494be310417200165cef4bc,2200954,Aroeiras do Itaim,-7.24502,-41.5325,0,22,1188,89,America/Sao_Paulo,PI,Piauí
402,6494be310417200165cefbf8,3504305,Avaí,-22.1514,-49.3356,0,35,6185,14,America/Sao_Paulo,SP,São Paulo
452,6494be310417200165ceee92,3105608,Barbacena,-21.2214,-43.7703,0,31,4111,32,America/Sao_Paulo,MG,Minas Gerais
502,6494be310417200165cefc06,3505609,Barrinha,-21.1864,-48.1636,0,35,6211,16,America/Sao_Paulo,SP,São Paulo
552,6494be310417200165ceee98,3106309,Belo Oriente,-19.2199,-42.4828,0,31,4125,31,America/Sao_Paulo,MG,Minas Gerais
602,6494be310417200165cef4cb,2201770,Boa Hora,-4.41404,-42.1357,0,22,280,86,America/Sao_Paulo,PI,Piauí
652,6494be310417200165cef728,3300605,Bom Jesus do Itabapoana,-21.1449,-41.6822,0,33,5811,22,America/Sao_Paulo,RJ,Rio de Janeiro
702,6494be310417200165ceea12,2904209,Botuporã,-13.3772,-42.5163,0,29,3383,77,America/Sao_Paulo,BA,Bahia
752,6494be310417200165cefa85,4202875,Brunópolis,-27.3058,-50.8684,0,42,904,49,America/Sao_Paulo,SC,Santa Catarina
802,6494be310417200165ceecb1,5204102,Cachoeira Alta,-18.7618,-50.9432,0,52,9281,64,America/Sao_Paulo,GO,Goiás
852,6494be310417200165ceeda8,2102408,Cajapió,-2.87326,-44.6741,0,21,745,98,America/Sao_Paulo,MA,Maranhão
902,6494be310417200165cef348,2504009,Campina Grande,-7.22196,-35.8731,0,25,1981,83,America/Sao_Paulo,PB,Paraíba
952,6494be310417200165cefc36,3509809,Campos Novos Paulista,-22.602,-49.9987,0,35,6297,14,America/Sao_Paulo,SP,São Paulo
1002,6494be310417200165cef5d0,4104501,Capanema,-25.6691,-53.8055,0,41,7487,46,America/Sao_Paulo,PR,Paraná
1052,6494be310417200165cef8bd,4304705,Carazinho,-28.2958,-52.7933,0,43,8591,54,America/Sao_Paulo,RS,Rio Grande do Sul
1102,6494be310417200165ceeef5,3114600,Carrancas,-21.4898,-44.6446,0,31,4291,35,America/Sao_Paulo,MG,Minas Gerais
1152,6494be310417200165ceebab,2303709,Caucaia,-3.72797,-38.6619,0,23,1373,85,America/Sao_Paulo,CE,Ceará
1202,6494be310417200165ceedb5,2103208,Chapadinha,-3.73875,-43.3538,0,21,761,98,America/Sao_Paulo,MA,Maranhão
1252,6494be310417200165ceef0d,3116704,Coimbra,-20.8535,-42.8008,0,31,4333,32,America/Sao_Paulo,MG,Minas Gerais
1302,6494be310417200165cefa9b,4204301,Concórdia,-27.2335,-52.026,0,42,8083,49,America/Sao_Paulo,SC,Santa Catarina
1352,6494be310417200165cef5e5,4106456,Coronel Domingos Soares,-26.2277,-52.0356,0,41,846,46,America/Sao_Paulo,PR,Paraná
1402,6494be310417200165cef8de,4306056,Cristal,-31.0046,-52.0436,0,43,8431,51,America/Sao_Paulo,RS,Rio Grande do Sul
1452,6494be310417200165ceef3c,3120839,Cuparaque,-18.9648,-41.0986,0,31,598,33,America/Sao_Paulo,MG,Minas Gerais
1502,6494be310417200165cee944,2702405,Delmiro Gouveia,-9.38534,-37.9987,0,27,2747,82,America/Sao_Paulo,AL,Alagoas
1552,6494be310417200165cee945,2702504,Dois Riachos,-9.38465,-37.0965,0,27,2749,82,America/Sao_Paulo,AL,Alagoas
1602,6494be310417200165cef736,3301702,Duque de Caxias,-22.7858,-43.3049,0,33,5833,21,America/Sao_Paulo,RJ,Rio de Janeiro
1652,6494be310417200165cef8fa,4307302,Erval Seco,-27.5443,-53.5005,0,43,8643,55,America/Sao_Paulo,RS,Rio Grande do Sul
1702,6494be310417200165ceecdb,5207535,Faina,-15.4473,-50.3622,0,52,9797,62,America/Sao_Paulo,GO,Goiás
1752,6494be310417200165ceecdd,5207808,Firminópolis,-16.5778,-50.304,0,52,9357,64,America/Sao_Paulo,GO,Goiás
1802,6494be310417200165cefab1,4205506,Fraiburgo,-27.0233,-50.92,0,42,8107,49,America/Sao_Paulo,SC,Santa Catarina
1852,6494be310417200165cef912,4308656,Garruchos,-28.1944,-55.6383,0,43,6081,55,America/Sao_Paulo,RS,Rio Grande do Sul
1902,6494be310417200165ceef8d,3127404,Gonçalves,-22.6545,-45.8556,0,31,4547,35,America/Sao_Paulo,MG,Minas Gerais
1952,6494be310417200165cefc90,3517505,Guapiaçu,-20.7959,-49.2172,0,35,6451,17,America/Sao_Paulo,SP,São Paulo
2002,6494be310417200165cef610,4108809,Guaíra,-24.085,-54.2573,0,41,7571,44,America/Sao_Paulo,PR,Paraná
2052,6494be310417200165ceefa2,3129400,Ibertioga,-21.433,-43.9639,0,31,4587,32,America/Sao_Paulo,MG,Minas Gerais
2102,6494be310417200165cee94c,2703106,Igaci,-9.53768,-36.6372,0,27,2761,82,America/Sao_Paulo,AL,Alagoas
2152,6494be310417200165ceefb1,3130606,Inconfidentes,-22.3136,-46.3264,0,31,4611,35,America/Sao_Paulo,MG,Minas Gerais
2202,6494be310417200165cee9ab,1301803,Ipixuna,-7.04791,-71.6934,0,13,239,97,America/Rio_Branco,AM,Amazonas
2252,6494be310417200165cefcc1,3521705,Itaberá,-23.8638,-49.14,0,35,6535,15,America/Sao_Paulo,SP,São Paulo
2302,6494be310417200165ceea9a,2915809,Itambé,-15.2429,-40.63,0,29,3617,77,America/Sao_Paulo,BA,Bahia
2352,6494be310417200165cefad7,4208450,Itapoá,-26.1158,-48.6182,0,42,9985,47,America/Sao_Paulo,SC,Santa Catarina
2402,6494be310417200165ceeaaa,2917300,Ituberá,-13.7249,-39.1481,0,29,3647,73,America/Sao_Paulo,BA,Bahia
2452,6494be310417200165cee950,2703502,Jacuípe,-8.83951,-35.4591,0,27,2769,82,America/Sao_Paulo,AL,Alagoas
2502,6494be310417200165cef63e,4112504,Jardim Alegre,-24.1809,-51.6902,0,41,7643,43,America/Sao_Paulo,PR,Paraná
2552,6494be310417200165cef452,2608206,Joaquim Nabuco,-8.62281,-35.5288,0,26,2463,81,America/Sao_Paulo,PE,Pernambuco
2602,6494be310417200165cee956,2704005,Junqueiro,-9.90696,-36.4803,0,27,2779,82,America/Sao_Paulo,AL,Alagoas
2652,6494be310417200165cef7c0,2406502,Lagoa Nova,-6.09339,-36.4703,0,24,1729,84,America/Sao_Paulo,RN,Rio Grande do Norte
2702,6494be310417200165cef647,4113205,Lapa,-25.7671,-49.7168,0,41,7657,41,America/Sao_Paulo,PR,Paraná
2752,6494be310417200165ceeac8,2919504,Livramento de Nossa Senhora,-13.6369,-41.8432,0,29,3691,77,America/Sao_Paulo,BA,Bahia
2802,6494be310417200165cefd06,3528205,Macedônia,-20.1444,-50.1973,0,35,6665,17,America/Sao_Paulo,SP,São Paulo
2852,6494be310417200165cef658,4114351,Manfrinópolis,-26.1441,-53.3113,0,41,864,46,America/Sao_Paulo,PR,Paraná
2902,6494be310417200165cef529,2205953,Marcolândia,-7.44169,-40.6602,0,22,2275,89,America/Sao_Paulo,PI,Piauí
2952,6494be310417200165cee960,2705002,Mata Grande,-9.11824,-37.7323,0,27,2799,82,America/Sao_Paulo,AL,Alagoas
3002,6494be310417200165cef2cd,1504505,Melgaço,-1.8032,-50.7149,0,15,489,91,America/Sao_Paulo,PA,Pará
