index,_id,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_uf
42,6494be310417200165ceee5d,3100807,Aguanil,-20.9439,-45.3915,0,31,4015,35,America/Sao_Paulo,MG,Minas Gerais
92,6494be310417200165cef86b,4300471,Almirante Tamandaré do Sul,-28.1149,-52.9142,0,43,1120,54,America/Sao_Paulo,RS,Rio Grande do Sul
142,6494be310417200165cefe50,1700707,Alvorada,-12.4785,-49.1249,0,17,9213,63,America/Sao_Paulo,TO,Tocantins
192,6494be310417200165cee9ed,2901353,Andorinha,-10.3482,-39.8391,0,29,3255,74,America/Sao_Paulo,BA,Bahia
242,6494be310417200165cefbe4,3502705,Apiaí,-24.5108,-48.8443,0,35,6153,15,America/Sao_Paulo,SP,São Paulo
292,6494be310417200165ceee7f,3103801,Arapuá,-19.0268,-46.1484,0,31,4075,34,America/Sao_Paulo,MG,Minas Gerais
342,6494be310417200165ceee87,3104502,Arinos,-15.9187,-46.1043,0,31,4089,38,America/Sao_Paulo,MG,Minas Gerais
392,6494be310417200165cee9fb,2902401,Aurelino Leal,-14.321,-39.329,0,29,3347,73,America/Sao_Paulo,BA,Bahia
442,6494be310417200165ceee8e,3105202,Bandeira,-15.8783,-40.5622,0,31,4103,33,America/Sao_Paulo,MG,Minas Gerais
492,6494be310417200165cef5af,4102604,Barracão,-26.2502,-53.6324,0,41,7449,49,America/Sao_Paulo,PR,Paraná
542,6494be310417200165cef4c6,2201556,Bela Vista do Piauí,-7.98809,-41.8675,0,22,274,89,America/Sao_Paulo,PI,Piauí
592,6494be310417200165cefc10,3506508,Birigui,-21.291,-50.3432,0,35,6229,18,America/Sao_Paulo,SP,São Paulo
642,6494be310417200165cef894,4302303,Bom Jesus,-28.6697,-50.4295,0,43,8545,54,America/Sao_Paulo,RS,Rio Grande do Sul
692,6494be310417200165cef339,2502706,Borborema,-6.80199,-35.6187,0,25,1955,83,America/Sao_Paulo,PB,Paraíba
742,6494be310417200165ceea13,2904308,Brejões,-13.1039,-39.7988,0,29,3385,75,America/Sao_Paulo,BA,Bahia
792,6494be310417200165cef827,1100031,Cabixi,-13.4945,-60.552,0,11,37,69,America/Porto_Velho,RO,Rondônia
842,6494be310417200165cefa88,4203105,Caibi,-27.0741,-53.2458,0,42,8059,49,America/Sao_Paulo,SC,Santa Catarina
892,6494be310417200165cef2a6,1502103,Cametá,-2.24295,-49.4979,0,15,441,91,America/Sao_Paulo,PA,Pará
942,6494be310417200165cef210,5102678,Campo Verde,-15.545,-55.1626,0,51,9779,66,America/Porto_Velho,MT,Mato Grosso
992,6494be310417200165cef72d,3301108,Cantagalo,-21.9797,-42.3664,0,33,5821,22,America/Sao_Paulo,RJ,Rio de Janeiro
1042,6494be310417200165cefc3f,3510500,Caraguatatuba,-23.6125,-45.4125,0,35,6311,12,America/Sao_Paulo,SP,São Paulo
1092,6494be310417200165cef795,2402501,Carnaubais,-5.34181,-36.8335,0,24,1649,84,America/Sao_Paulo,RN,Rio Grande do Norte
1142,6494be310417200165ceea39,2907400,Catolândia,-12.31,-44.8648,0,29,3447,77,America/Sao_Paulo,BA,Bahia
1192,6494be310417200165cefa97,4204178,Cerro Negro,-27.7942,-50.8673,0,42,5567,49,America/Sao_Paulo,SC,Santa Catarina
1242,6494be310417200165cef4e7,2202703,Cocal,-3.47279,-41.5546,0,22,1053,86,America/Sao_Paulo,PI,Piauí
1292,6494be310417200165ceea44,2908408,Conceição do Coité,-11.56,-39.2808,0,29,3467,75,America/Sao_Paulo,BA,Bahia
1342,6494be310417200165cef1c2,5003108,Corguinho,-19.8243,-54.8281,0,50,9061,67,America/Porto_Velho,MS,Mato Grosso do Sul
1392,6494be310417200165cef355,2504850,Coxixola,-7.62365,-36.6064,0,25,472,83,America/Sao_Paulo,PB,Paraíba
1442,6494be310417200165cef358,2505105,Cuité,-6.47647,-36.1515,0,25,2003,83,America/Sao_Paulo,PB,Paraíba
1492,6494be310417200165ceecd2,5206701,Damianópolis,-14.5604,-46.178,0,52,9335,62,America/Sao_Paulo,GO,Goiás
1542,6494be310417200165ceef4e,3122355,Divisa Alegre,-15.7221,-41.3463,0,31,604,33,America/Sao_Paulo,MG,Minas Gerais
1592,6494be310417200165cef79c,2403202,Doutor Severiano,-6.08082,-38.3794,0,24,1663,84,America/Sao_Paulo,RN,Rio Grande do Norte
1642,6494be310417200165cee9a7,1301506,Envira,-7.43789,-70.0281,0,13,231,97,America/Rio_Branco,AM,Amazonas
1692,6494be310417200165ceef6c,3124906,Eugenópolis,-21.1002,-42.1878,0,31,4497,32,America/Sao_Paulo,MG,Minas Gerais
1742,6494be310417200165cef433,2605509,Ferreiros,-7.44666,-35.2373,0,26,2409,81,America/Sao_Paulo,PE,Pernambuco
1792,6494be310417200165ceebba,2304400,Fortaleza,-3.71664,-38.5423,1,23,1389,85,America/Sao_Paulo,CE,Ceará
1842,6494be310417200165cefab3,4205605,Galvão,-26.4549,-52.6875,0,42,8109,49,America/Sao_Paulo,SC,Santa Catarina
1892,6494be310417200165ceece4,5208608,Goianésia,-15.3118,-49.1162,0,52,9371,62,America/Sao_Paulo,GO,Goiás
1942,6494be310417200165cefc8d,3517208,Guaiçara,-21.6195,-49.8013,0,35,6445,14,America/Sao_Paulo,SP,São Paulo
1992,6494be310417200165ceeced,5209457,Guarinos,-14.7292,-49.7006,0,52,9993,62,America/Sao_Paulo,GO,Goiás
2042,6494be310417200165cefca5,3519253,Iaras,-22.8682,-49.1634,0,35,7259,14,America/Sao_Paulo,SP,São Paulo
2092,6494be310417200165ceebca,2305357,Icapuí,-4.71206,-37.3531,0,23,1593,88,America/Sao_Paulo,CE,Ceará
2142,6494be310417200165cefac6,4207304,Imbituba,-28.2284,-48.6659,0,42,8143,48,America/Sao_Paulo,SC,Santa Catarina
2192,6494be310417200165ceefbb,3131406,Ipiaçu,-18.6927,-49.9436,0,31,4627,34,America/Sao_Paulo,MG,Minas Gerais
2242,6494be310417200165ceec5a,3202652,Irupi,-20.3501,-41.6444,0,32,2931,28,America/Sao_Paulo,ES,Espírito Santo
2292,6494be310417200165ceecfc,5210802,Itajá,-19.0673,-51.5495,0,52,9411,64,America/Sao_Paulo,GO,Goiás
2342,6494be310417200165cefe8a,1710904,Itapiratins,-8.37982,-48.1072,0,17,347,63,America/Sao_Paulo,TO,Tocantins
2392,6494be310417200165ceedd9,2105427,Itinga do Maranhão,-4.45293,-47.5235,0,21,174,99,America/Sao_Paulo,MA,Maranhão
2442,6494be310417200165ceefdd,3134707,Jacinto,-16.1428,-40.295,0,31,4693,33,America/Sao_Paulo,MG,Minas Gerais
2492,6494be310417200165cee9b0,1302108,Japurá,-1.88237,-66.9291,0,13,245,97,America/Porto_Velho,AM,Amazonas
2542,6494be310417200165cef641,4112751,Jesuítas,-24.3839,-53.3849,0,41,7997,44,America/Sao_Paulo,PR,Paraná
2592,6494be310417200165ceeab9,2918456,Jucuruçu,-16.8488,-40.1641,0,29,3287,73,America/Sao_Paulo,BA,Bahia
2642,6494be310417200165ceede0,2105807,Lago do Junco,-4.609,-45.049,0,21,815,99,America/Sao_Paulo,MA,Maranhão
2692,6494be310417200165ceeac2,2919058,Lajedo do Tabocal,-13.4663,-40.2204,0,29,3291,73,America/Sao_Paulo,BA,Bahia
2742,6494be310417200165cef2c5,1504000,Limoeiro do Ajuru,-1.8985,-49.3903,0,15,479,91,America/Sao_Paulo,PA,Pará
2792,6494be310417200165cefb9e,2803708,Macambira,-10.6619,-37.5413,0,28,3173,79,America/Sao_Paulo,SE,Sergipe
