index,_id,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_uf
10,6494be310417200165cef288,1500131,Abel Figueiredo,-4.95333,-48.3933,0,15,375,94,America/Sao_Paulo,PA,Pará
60,6494be310417200165cee9e5,2900702,Alagoinhas,-12.1335,-38.4208,0,29,3313,75,America/Sao_Paulo,BA,Bahia
110,6494be310417200165ceed83,2100436,Alto Alegre do Maranhão,-4.213,-44.446,0,21,106,99,America/Sao_Paulo,MA,Maranhão
160,6494be310417200165cee992,1300060,Amaturá,-3.37455,-68.2005,0,13,291,97,America/Porto_Velho,AM,Amazonas
210,6494be310417200165cefbe1,3502408,Anhumas,-22.2934,-51.3895,0,35,6147,18,America/Sao_Paulo,SP,São Paulo
260,6494be310417200165ceee79,3103306,Aracitaba,-21.3446,-43.3736,0,31,4065,32,America/Sao_Paulo,MG,Minas Gerais
310,6494be310417200165cee9fa,2902302,Aratuípe,-13.0716,-39.0038,0,29,3345,75,America/Sao_Paulo,BA,Bahia
360,6494be310417200165cef87a,4301057,Arroio do Sal,-29.5439,-49.8895,0,43,8489,51,America/Sao_Paulo,RS,Rio Grande do Sul
410,6494be310417200165ceee5a,3100500,Açucena,-19.0671,-42.5419,0,31,4009,33,America/Sao_Paulo,MG,Minas Gerais
460,6494be310417200165cee9ff,2902708,Barra,-11.0859,-43.1459,0,29,3353,74,America/Sao_Paulo,BA,Bahia
510,6494be310417200165ceeb99,2302057,Barroquinha,-3.02051,-41.1358,0,23,1237,88,America/Sao_Paulo,CE,Ceará
560,6494be310417200165cef331,2502003,Belém do Brejo do Cruz,-6.18515,-37.5348,0,25,1941,83,America/Sao_Paulo,PB,Paraíba
610,6494be310417200165cef88f,4302154,Boa Vista das Missões,-27.6671,-53.3102,0,43,5981,55,America/Sao_Paulo,RS,Rio Grande do Sul
660,6494be310417200165cef895,4302352,Bom Princípio,-29.4856,-51.3548,0,43,9823,51,America/Sao_Paulo,RS,Rio Grande do Sul
710,6494be310417200165cef29f,1501725,Brasil Novo,-3.29792,-52.534,0,15,639,93,America/Sao_Paulo,PA,Pará
760,6494be310417200165cee918,1200138,Bujari,-9.81528,-67.955,0,12,645,68,America/Rio_Branco,AC,Acre
810,6494be310417200165ceeec0,3102704,Cachoeira de Pajeú,-15.9688,-41.4948,0,31,4053,33,America/Sao_Paulo,MG,Minas Gerais
860,6494be310417200165cef4d7,2202083,Cajueiro da Praia,-2.93111,-41.3408,0,22,288,86,America/Sao_Paulo,PI,Piauí
910,6494be310417200165cef4d9,2202109,Campinas do Piauí,-7.6593,-41.8775,0,22,1041,89,America/Sao_Paulo,PI,Piauí
960,6494be310417200165cef212,5102694,Canabrava do Norte,-11.0556,-51.8209,0,51,129,66,America/Porto_Velho,MT,Mato Grosso
1010,6494be310417200165ceeedc,3112307,Capelinha,-17.6888,-42.5147,0,31,4245,33,America/Sao_Paulo,MG,Minas Gerais
1060,6494be310417200165ceea35,2907004,Cardeal da Silva,-11.9472,-37.9469,0,29,3439,75,America/Sao_Paulo,BA,Bahia
1110,6494be310417200165ceeef8,3114907,Casa Grande,-20.7925,-43.9343,0,31,4297,31,America/Sao_Paulo,MG,Minas Gerais
1160,6494be310417200165cefc27,3508504,Caçapava,-23.0992,-45.7076,0,35,6271,12,America/Sao_Paulo,SP,São Paulo
1210,6494be310417200165ceebad,2303907,Chaval,-3.03571,-41.2435,0,23,1377,88,America/Sao_Paulo,CE,Ceará
1260,6494be310417200165ceecc9,5205521,Colinas do Sul,-14.1528,-48.076,0,52,9791,62,America/Sao_Paulo,GO,Goiás
1310,6494be310417200165ceef1b,3117876,Confins,-19.6282,-43.9931,0,31,592,31,America/Sao_Paulo,MG,Minas Gerais
