index,_id,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_uf
37,6494be310417200165cef28a,1500305,Afuá,-0.154874,-50.3861,0,15,405,91,America/Sao_Paulo,PA,Pará
87,6494be310417200165cefe4f,1700400,Almas,-11.5706,-47.1792,0,17,9207,63,America/Sao_Paulo,TO,Tocantins
137,6494be310417200165ceee6e,3102209,Alvarenga,-19.4174,-41.7317,0,31,4043,33,America/Sao_Paulo,MG,Minas Gerais
187,6494be310417200165cef1af,5000807,Anaurilândia,-22.1852,-52.7191,0,50,9015,67,America/Porto_Velho,MS,Mato Grosso do Sul
237,6494be310417200165cefe53,1701101,Aparecida do Rio Negro,-9.94139,-47.9638,0,17,9713,63,America/Sao_Paulo,TO,Tocantins
287,6494be310417200165ceee7d,3103702,Araponga,-20.6686,-42.5178,0,31,4073,31,America/Sao_Paulo,MG,Minas Gerais
337,6494be310417200165cefbf0,3503604,Areiópolis,-22.6672,-48.6681,0,35,6171,14,America/Sao_Paulo,SP,São Paulo
387,6494be310417200165cefe5c,1702554,Augustinópolis,-5.46863,-47.8863,0,17,9685,63,America/Sao_Paulo,TO,Tocantins
437,6494be310417200165ceed94,2101400,Balsas,-7.53214,-46.0372,0,21,727,99,America/Sao_Paulo,MA,Maranhão
487,6494be310417200165cef888,4301909,Barra do Ribeiro,-30.2939,-51.3014,0,43,8537,51,America/Sao_Paulo,RS,Rio Grande do Sul
537,6494be310417200165cef5b0,4102752,Bela Vista da Caroba,-25.8842,-53.6725,0,41,834,46,America/Sao_Paulo,PR,Paraná
587,6494be310417200165ceee9e,3106804,Bias Fortes,-21.602,-43.7574,0,31,4135,32,America/Sao_Paulo,MG,Minas Gerais
637,6494be310417200165ceeca7,5203401,Bom Jardim de Goiás,-16.2063,-52.1728,0,52,9267,64,America/Sao_Paulo,GO,Goiás
687,6494be310417200165cef4d0,2201945,Boqueirão do Piauí,-4.48181,-42.1212,0,22,282,86,America/Sao_Paulo,PI,Piauí
737,6494be310417200165cef33a,2502805,Brejo do Cruz,-6.34185,-37.4943,0,25,1957,83,America/Sao_Paulo,PB,Paraíba
787,6494be310417200165ceea1a,2904852,Cabaceiras do Paraguaçu,-12.5317,-39.1902,0,29,3267,75,America/Sao_Paulo,BA,Bahia
837,6494be310417200165cef5c0,4103479,Cafezal do Sul,-23.9005,-53.5124,0,41,5491,44,America/Sao_Paulo,PR,Paraná
887,6494be310417200165cefa8a,4203204,Camboriú,-27.0241,-48.6503,0,42,8061,47,America/Sao_Paulo,SC,Santa Catarina
937,6494be310417200165cef5cc,4104303,Campo Mourão,-24.0463,-52.378,0,41,7483,44,America/Sao_Paulo,PR,Paraná
987,6494be310417200165cef8b3,4304606,Canoas,-29.9128,-51.1857,0,43,8589,51,America/Sao_Paulo,RS,Rio Grande do Sul
1037,6494be310417200165cef8b7,4304655,Capão do Cipó,-28.9312,-54.5558,0,43,1134,55,America/Sao_Paulo,RS,Rio Grande do Sul
1087,6494be310417200165ceecbf,5205000,Carmo do Rio Verde,-15.3549,-49.708,0,52,9299,62,America/Sao_Paulo,GO,Goiás
1137,6494be310417200165ceeefc,3115359,Catas Altas,-20.0734,-43.4061,0,31,584,31,America/Sao_Paulo,MG,Minas Gerais
1187,6494be310417200165cef8c6,4305132,Cerro Branco,-29.657,-52.9406,0,43,8439,51,America/Sao_Paulo,RS,Rio Grande do Sul
1237,6494be310417200165cef5dd,4105706,Clevelândia,-26.4043,-52.3508,0,41,7509,46,America/Sao_Paulo,PR,Paraná
1287,6494be310417200165cef733,3301405,Conceição de Macabu,-22.0834,-41.8719,0,33,5827,22,America/Sao_Paulo,RJ,Rio de Janeiro
1337,6494be310417200165cefa9c,4204350,Cordilheira Alta,-26.9844,-52.6056,0,42,5579,49,America/Sao_Paulo,SC,Santa Catarina
1387,6494be310417200165cef21e,5103379,Cotriguaçu,-9.85656,-58.4192,0,51,89,66,America/Porto_Velho,MT,Mato Grosso
1437,6494be310417200165ceef3b,3120805,Cruzília,-21.84,-44.8067,0,31,4415,35,America/Sao_Paulo,MG,Minas Gerais
1487,6494be310417200165ceef31,3119955,Córrego Fundo,-20.4474,-45.5617,0,31,594,37,America/Sao_Paulo,MG,Minas Gerais
1537,6494be310417200165ceef4c,3122207,Divinolândia de Minas,-18.8004,-42.6103,0,31,4443,33,America/Sao_Paulo,MG,Minas Gerais
1587,6494be310417200165cef1ca,5003702,Dourados,-22.2231,-54.812,0,50,9073,67,America/Porto_Velho,MS,Mato Grosso do Sul
