index,_id,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_uf
48,6494be310417200165cefe4d,1700301,Aguiarnópolis,-6.55409,-47.4702,0,17,72,63,America/Sao_Paulo,TO,Tocantins
98,6494be310417200165cef821,1100015,Alta Floresta D'Oeste,-11.9283,-61.9953,0,11,33,69,America/Porto_Velho,RO,Rondônia
148,6494be310417200165ceee64,3101508,Além Paraíba,-21.8797,-42.7176,0,31,4029,32,America/Sao_Paulo,MG,Minas Gerais
198,6494be310417200165cef400,2601003,Angelim,-8.88429,-36.2902,0,26,2319,87,America/Sao_Paulo,PE,Pernambuco
248,6494be310417200165cee9f4,2901957,Apuarema,-13.8542,-39.7501,0,29,3257,73,America/Sao_Paulo,BA,Bahia
298,6494be310417200165cefbec,3503307,Araras,-22.3572,-47.3842,0,35,6165,19,America/Sao_Paulo,SP,São Paulo
348,6494be310417200165cef722,3300233,Armação dos Búzios,-22.7528,-41.8846,0,33,770,22,America/Sao_Paulo,RJ,Rio de Janeiro
398,6494be310417200165cefe5d,1702703,Aurora do Tocantins,-12.7105,-46.4076,0,17,9253,63,America/Sao_Paulo,TO,Tocantins
448,6494be310417200165cef297,1501253,Bannach,-7.34779,-50.3959,0,15,42,94,America/Sao_Paulo,PA,Pará
498,6494be310417200165cee999,1300508,Barreirinha,-2.79886,-57.0679,0,13,211,92,America/Porto_Velho,AM,Amazonas
548,6494be310417200165ceea09,2903508,Belo Campo,-15.0334,-41.2652,0,29,3369,77,America/Sao_Paulo,BA,Bahia
598,6494be310417200165ceeea1,3107109,Boa Esperança,-21.0927,-45.5612,0,31,4141,35,America/Sao_Paulo,MG,Minas Gerais
648,6494be310417200165ceeca8,5203500,Bom Jesus de Goiás,-18.2173,-49.74,0,52,9269,64,America/Sao_Paulo,GO,Goiás
698,6494be310417200165cef899,4302501,Bossoroca,-28.7291,-54.9035,0,43,8549,55,America/Sao_Paulo,RS,Rio Grande do Sul
748,6494be310417200165cefc21,3507902,Brotas,-22.2795,-48.1251,0,35,6259,14,America/Sao_Paulo,SP,São Paulo
798,6494be310417200165cefc25,3508306,Cabrália Paulista,-22.4576,-49.3393,0,35,6267,14,America/Sao_Paulo,SP,São Paulo
848,6494be310417200165cef8a4,4303400,Caiçara,-27.2791,-53.4257,0,43,8567,55,America/Sao_Paulo,RS,Rio Grande do Sul
898,6494be310417200165ceeecd,3111002,Campestre,-21.7079,-46.2381,0,31,4219,35,America/Sao_Paulo,MG,Minas Gerais
948,6494be310417200165cef8ad,4304101,Campos Borges,-28.8871,-53.0008,0,43,8445,54,America/Sao_Paulo,RS,Rio Grande do Sul
998,6494be310417200165cee9a0,1300904,Canutama,-6.52582,-64.3953,0,13,219,97,America/Porto_Velho,AM,Amazonas
1048,6494be310417200165cefc40,3510609,Carapicuíba,-23.5235,-46.8407,0,35,6313,11,America/Sao_Paulo,SP,São Paulo
1098,6494be310417200165cee93d,2701803,Carneiros,-9.48476,-37.3773,0,27,2735,82,America/Sao_Paulo,AL,Alagoas
1148,6494be310417200165ceecc2,5205208,Caturaí,-16.4447,-49.4936,0,52,9303,62,America/Sao_Paulo,GO,Goiás
1198,6494be310417200165cefe6f,1705102,Chapada da Natividade,-11.6175,-47.7486,0,17,80,63,America/Sao_Paulo,TO,Tocantins
1248,6494be310417200165ceea41,2908101,Cocos,-14.1814,-44.5352,0,29,3461,77,America/Sao_Paulo,BA,Bahia
1298,6494be310417200165cefe74,1705607,Conceição do Tocantins,-12.2209,-47.2951,0,17,9313,63,America/Sao_Paulo,TO,Tocantins
1348,6494be310417200165ceedbb,2103604,Coroatá,-4.13442,-44.1244,0,21,769,99,America/Sao_Paulo,MA,Maranhão
1398,6494be310417200165cefaa1,4204608,Criciúma,-28.6723,-49.3729,0,42,8089,48,America/Sao_Paulo,SC,Santa Catarina
1448,6494be310417200165cefb8c,2801900,Cumbe,-10.352,-37.1846,0,28,3137,79,America/Sao_Paulo,SE,Sergipe
1498,6494be310417200165ceecd4,5206909,Davinópolis,-18.1501,-47.5568,0,52,9339,64,America/Sao_Paulo,GO,Goiás
1548,6494be310417200165cef8e8,4306429,Dois Irmãos das Missões,-27.6621,-53.5304,0,43,5971,55,America/Sao_Paulo,RS,Rio Grande do Sul
1598,6494be310417200165cef361,2505808,Duas Estradas,-6.68499,-35.418,0,25,2017,83,America/Sao_Paulo,PB,Paraíba
1648,6494be310417200165ceebb6,2304277,Ererê,-6.02751,-38.3461,0,23,1245,88,America/Sao_Paulo,CE,Ceará
1698,6494be310417200165cef7a0,2403608,Extremoz,-5.70143,-35.3048,0,24,1671,84,America/Sao_Paulo,RN,Rio Grande do Norte
1748,6494be310417200165cef225,5103809,Figueirópolis D'Oeste,-15.4439,-58.7391,0,51,9881,65,America/Porto_Velho,MT,Mato Grosso
1798,6494be310417200165ceedc6,2104206,Fortuna,-5.72792,-44.1565,0,21,781,99,America/Sao_Paulo,MA,Maranhão
1848,6494be310417200165cefb91,2802403,Gararu,-9.9722,-37.0869,0,28,3149,79,America/Sao_Paulo,SE,Sergipe
1898,6494be310417200165ceece7,5208905,Goiás,-15.9333,-50.14,0,52,9377,62,America/Sao_Paulo,GO,Goiás
1948,6494be310417200165cef612,4108957,Guamiranga,-25.1912,-50.8021,0,41,860,42,America/Sao_Paulo,PR,Paraná
1998,6494be310417200165cefc9e,3518859,Guatapará,-21.4944,-48.0356,0,35,7257,16,America/Sao_Paulo,SP,São Paulo
2048,6494be310417200165cee94b,2703007,Ibateguara,-8.97823,-35.9373,0,27,2759,82,America/Sao_Paulo,AL,Alagoas
2098,6494be310417200165cefcab,3519808,Icém,-20.3391,-49.1915,0,35,6497,17,America/Sao_Paulo,SP,São Paulo
2148,6494be310417200165ceedd6,2105302,Imperatriz,-5.51847,-47.4777,0,21,803,99,America/Sao_Paulo,MA,Maranhão
2198,6494be310417200165cef22c,5104526,Ipiranga do Norte,-12.2408,-56.1531,0,51,1184,65,America/Porto_Velho,MT,Mato Grosso
2248,6494be310417200165cefb97,2803005,Itabaianinha,-11.2693,-37.7875,0,28,3159,79,America/Sao_Paulo,SE,Sergipe
2298,6494be310417200165ceefc7,3132602,Itamarati de Minas,-21.4179,-42.813,0,31,4651,32,America/Sao_Paulo,MG,Minas Gerais
2348,6494be310417200165cefb99,2803203,Itaporanga d'Ajuda,-10.99,-37.3078,0,28,3163,79,America/Sao_Paulo,SE,Sergipe
2398,6494be310417200165cefcd8,3523800,Itobi,-21.7309,-46.9743,0,35,6577,19,America/Sao_Paulo,SP,São Paulo
2448,6494be310417200165cefce0,3524600,Jacupiranga,-24.6963,-48.0064,0,35,6593,13,America/Sao_Paulo,SP,São Paulo
2498,6494be310417200165cefadc,4208906,Jaraguá do Sul,-26.4851,-49.0713,0,42,8175,47,America/Sao_Paulo,SC,Santa Catarina
2548,6494be310417200165ceefef,3136108,Joanésia,-19.1729,-42.6775,0,31,4721,33,America/Sao_Paulo,MG,Minas Gerais
2598,6494be310417200165cefcee,3525904,Jundiaí,-23.1852,-46.8974,0,35,6619,11,America/Sao_Paulo,SP,São Paulo
2648,6494be310417200165cef001,3137502,Lagoa Formosa,-18.7715,-46.4012,0,31,4749,34,America/Sao_Paulo,MG,Minas Gerais
