index,_id,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_uf
20,6494be310417200165cef289,1500206,Acará,-1.95383,-48.1985,0,15,403,91,America/Sao_Paulo,PA,Pará
70,6494be310417200165ceec3c,3200201,Alegre,-20.758,-41.5382,0,32,5603,28,America/Sao_Paulo,ES,Espírito Santo
120,6494be310417200165ceee6c,3153509,Alto Jequitibá,-20.4208,-41.967,0,31,5069,33,America/Sao_Paulo,MG,Minas Gerais
170,6494be310417200165cef59a,4101002,Ampére,-25.9168,-53.4686,0,41,7417,46,America/Sao_Paulo,PR,Paraná
220,6494be310417200165cee9f1,2901700,Antônio Cardoso,-12.4335,-39.1176,0,29,3333,75,America/Sao_Paulo,BA,Bahia
270,6494be310417200165cefe58,1702158,Araguanã,-6.58225,-48.6395,0,17,169,63,America/Sao_Paulo,TO,Tocantins
320,6494be310417200165cefbe7,3502903,Araçoiaba da Serra,-23.5029,-47.6166,0,35,6157,15,America/Sao_Paulo,SP,São Paulo
370,6494be310417200165cefbf4,3503950,Aspásia,-20.16,-50.728,0,35,2981,17,America/Sao_Paulo,SP,São Paulo
420,6494be310417200165cee9fc,2902500,Baianópolis,-12.3016,-44.5388,0,29,3349,77,America/Sao_Paulo,BA,Bahia
470,6494be310417200165cef32c,2501609,Barra de Santa Rosa,-6.71816,-36.0671,0,25,1933,83,America/Sao_Paulo,PB,Paraíba
520,6494be310417200165ceee91,3105509,Barão de Monte Alto,-21.2444,-42.2372,0,31,4109,32,America/Sao_Paulo,MG,Minas Gerais
570,6494be310417200165cef88e,4302105,Bento Gonçalves,-29.1662,-51.5165,0,43,8541,54,America/Sao_Paulo,RS,Rio Grande do Sul
620,6494be310417200165cef4cc,2201804,Bocaina,-6.94124,-41.3168,0,22,1035,89,America/Sao_Paulo,PI,Piauí
670,6494be310417200165cef5ba,4103222,Bom Sucesso do Sul,-26.0731,-52.8353,0,41,9979,46,America/Sao_Paulo,PR,Paraná
720,6494be310417200165ceecab,5203609,Brazabrantes,-16.4281,-49.3863,0,52,9271,62,America/Sao_Paulo,GO,Goiás
770,6494be310417200165cef4d4,2202026,Buriti dos Montes,-5.30584,-41.0933,0,22,1297,86,America/Sao_Paulo,PI,Piauí
820,6494be310417200165cef340,2503407,Cacimba de Areia,-7.12128,-37.1563,0,25,1969,83,America/Sao_Paulo,PB,Paraíba
