index,_id,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_uf
28,6494be310417200165ceec8a,5200159,Adelândia,-16.4127,-50.1657,0,52,9769,64,America/Sao_Paulo,GO,Goiás
78,6494be310417200165ceec3d,3200300,Alfredo Chaves,-20.6396,-40.7543,0,32,5605,27,America/Sao_Paulo,ES,Espírito Santo
128,6494be310417200165cef596,4100707,Alto Piquiri,-24.0224,-53.44,0,41,7411,44,America/Sao_Paulo,PR,Paraná
178,6494be310417200165ceed88,2100709,Anajatuba,-3.26269,-44.6126,0,21,713,98,America/Sao_Paulo,MA,Maranhão
228,6494be310417200165cef874,4300802,Antônio Prado,-28.8565,-51.2883,0,43,8515,54,America/Sao_Paulo,RS,Rio Grande do Sul
278,6494be310417200165cee9f8,2902203,Aramari,-12.0884,-38.4969,0,29,3343,75,America/Sao_Paulo,BA,Bahia
328,6494be310417200165ceee84,3104304,Areado,-21.3572,-46.1421,0,31,4085,35,America/Sao_Paulo,MG,Minas Gerais
378,6494be310417200165ceee88,3104601,Astolfo Dutra,-21.3184,-42.8572,0,31,4091,32,America/Sao_Paulo,MG,Minas Gerais
428,6494be310417200165ceeca4,5203104,Baliza,-16.1966,-52.5393,0,52,9261,64,America/Sao_Paulo,GO,Goiás
478,6494be310417200165ceea01,2902906,Barra do Choça,-14.8654,-40.5791,0,29,3357,77,America/Sao_Paulo,BA,Bahia
528,6494be310417200165ceeb9a,2302107,Baturité,-4.32598,-38.8812,0,23,1341,85,America/Sao_Paulo,CE,Ceará
578,6494be310417200165ceed9c,2101939,Bernardo do Mearim,-4.62666,-44.7608,0,21,124,99,America/Sao_Paulo,MA,Maranhão
628,6494be310417200165cef78b,2401651,Bodó,-5.98027,-36.4167,0,24,412,84,America/Sao_Paulo,RN,Rio Grande do Norte
678,6494be310417200165ceea10,2904050,Bonito,-11.9668,-41.2647,0,29,3265,75,America/Sao_Paulo,BA,Bahia
728,6494be310417200165cef78d,2401800,Brejinho,-6.18566,-35.3591,0,24,1635,84,America/Sao_Paulo,RN,Rio Grande do Norte
778,6494be310417200165ceeebb,3109402,Buritizeiro,-17.3656,-44.9606,0,31,4187,38,America/Sao_Paulo,MG,Minas Gerais
828,6494be310417200165ceea1e,2905156,Caetanos,-14.3347,-40.9175,0,29,3269,77,America/Sao_Paulo,BA,Bahia
878,6494be310417200165ceeec8,3110509,Camanducaia,-22.7515,-46.1494,0,31,4209,35,America/Sao_Paulo,MG,Minas Gerais
928,6494be310417200165cee93a,2701506,Campo Grande,-9.95542,-36.7926,0,27,2729,82,America/Sao_Paulo,AL,Alagoas
978,6494be310417200165cef8b1,4304408,Canela,-29.356,-50.8119,0,43,8585,54,America/Sao_Paulo,RS,Rio Grande do Sul
1028,6494be310417200165cefa93,4203956,Capivari de Baixo,-28.4498,-48.9631,0,42,5545,48,America/Sao_Paulo,SC,Santa Catarina
1078,6494be310417200165cef8bf,4304853,Carlos Gomes,-27.7167,-51.9121,0,43,5961,54,America/Sao_Paulo,RS,Rio Grande do Sul
1128,6494be310417200165cefc44,3511003,Castilho,-20.8689,-51.4884,0,35,6321,18,America/Sao_Paulo,SP,São Paulo
