index,_id,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_uf
44,6494be310417200165cef866,4300109,Agudo,-29.6447,-53.2515,0,43,8501,55,America/Sao_Paulo,RS,Rio Grande do Sul
94,6494be310417200165ceee68,3101805,Alpercata,-18.974,-41.97,0,31,4035,33,America/Sao_Paulo,MG,Minas Gerais
144,6494be310417200165ceee70,3102407,Alvorada de Minas,-18.7334,-43.3638,0,31,4047,31,America/Sao_Paulo,MG,Minas Gerais
194,6494be310417200165cefbde,3502101,Andradina,-20.8948,-51.3786,0,35,6141,18,America/Sao_Paulo,SP,São Paulo
244,6494be310417200165cefa64,4201257,Apiúna,-27.0375,-49.3885,0,42,9941,47,America/Sao_Paulo,SC,Santa Catarina
294,6494be310417200165cefa66,4201307,Araquari,-26.3754,-48.7188,0,42,8025,47,America/Sao_Paulo,SC,Santa Catarina
344,6494be310417200165cef825,1100023,Ariquemes,-9.90571,-63.0325,0,11,7,69,America/Porto_Velho,RO,Rondônia
394,6494be310417200165ceeca2,5202601,Aurilândia,-16.6773,-50.4641,0,52,9251,64,America/Sao_Paulo,GO,Goiás
444,6494be310417200165cefa74,4202081,Bandeirante,-26.7705,-53.6413,0,42,892,49,America/Sao_Paulo,SC,Santa Catarina
494,6494be310417200165cef4c2,2201200,Barras,-4.24468,-42.2922,0,22,1023,86,America/Sao_Paulo,PI,Piauí
544,6494be310417200165cef726,3300456,Belford Roxo,-22.764,-43.3992,0,33,2909,21,America/Sao_Paulo,RJ,Rio de Janeiro
594,6494be310417200165ceea0a,2903607,Biritinga,-11.6072,-38.8051,0,29,3371,75,America/Sao_Paulo,BA,Bahia
644,6494be310417200165ceea0d,2903904,Bom Jesus da Lapa,-13.2506,-43.4108,0,29,3377,77,America/Sao_Paulo,BA,Bahia
694,6494be310417200165ceeeae,3108305,Borda da Mata,-22.2707,-46.1653,0,31,4165,35,America/Sao_Paulo,MG,Minas Gerais
744,6494be310417200165cef2a2,1501808,Breves,-1.68036,-50.4791,0,15,435,91,America/Sao_Paulo,PA,Pará
794,6494be310417200165ceeebd,3109501,Cabo Verde,-21.4699,-46.3919,0,31,4189,35,America/Sao_Paulo,MG,Minas Gerais
844,6494be310417200165cefc2c,3509007,Caieiras,-23.3607,-46.7397,0,35,6281,11,America/Sao_Paulo,SP,São Paulo
894,6494be310417200165cef41b,2603504,Camocim de São Félix,-8.35865,-35.7653,0,26,2369,81,America/Sao_Paulo,PE,Pernambuco
944,6494be310417200165ceeed1,3111309,Campo do Meio,-21.1127,-45.8273,0,31,4225,35,America/Sao_Paulo,MG,Minas Gerais
994,6494be310417200165cef4df,2202307,Canto do Buriti,-8.1111,-42.9517,0,22,1045,89,America/Sao_Paulo,PI,Piauí
1044,6494be310417200165ceeee5,3113107,Caranaíba,-20.8707,-43.7417,0,31,4261,31,America/Sao_Paulo,MG,Minas Gerais
1094,6494be310417200165cef420,2603926,Carnaubeira da Penha,-8.31799,-38.7512,0,26,2635,87,America/Sao_Paulo,PE,Pernambuco
1144,6494be310417200165ceea3a,2907509,Catu,-12.3513,-38.3791,0,29,3449,71,America/Sao_Paulo,BA,Bahia
1194,6494be310417200165ceecc5,5205455,Cezarina,-16.9718,-49.7758,0,52,9785,64,America/Sao_Paulo,GO,Goiás
1244,6494be310417200165cefa9a,4204251,Cocal do Sul,-28.5986,-49.3335,0,42,5543,48,America/Sao_Paulo,SC,Santa Catarina
1294,6494be310417200165ceedba,2103554,Conceição do Lago-Açu,-3.85142,-44.8895,0,21,152,98,America/Sao_Paulo,MA,Maranhão
1344,6494be310417200165ceef28,3119104,Corinto,-18.369,-44.4542,0,31,4381,38,America/Sao_Paulo,MG,Minas Gerais
1394,6494be310417200165ceebb2,2304202,Crato,-7.2153,-39.4103,0,23,1385,88,America/Sao_Paulo,CE,Ceará
1444,6494be310417200165cef832,1100940,Cujubim,-9.36065,-62.5846,0,11,8,69,America/Porto_Velho,RO,Rondônia
1494,6494be310417200165ceecd3,5206800,Damolândia,-16.2544,-49.3631,0,52,9337,62,America/Sao_Paulo,GO,Goiás
1544,6494be310417200165ceef50,3122454,Divisópolis,-15.7254,-40.9997,0,31,2657,33,America/Sao_Paulo,MG,Minas Gerais
1594,6494be310417200165ceecd7,5207253,Doverlândia,-16.7188,-52.3189,0,52,9675,64,America/Sao_Paulo,GO,Goiás
1644,6494be310417200165cee91b,1200252,Epitaciolândia,-11.0188,-68.7341,0,12,651,68,America/Rio_Branco,AC,Acre
1694,6494be310417200165ceea5e,2910727,Eunápolis,-16.3715,-39.5821,0,29,3117,73,America/Sao_Paulo,BA,Bahia
1744,6494be310417200165ceef76,3125952,Fervedouro,-20.726,-42.279,0,31,2683,32,America/Sao_Paulo,MG,Minas Gerais
1794,6494be310417200165cefe82,1708254,Fortaleza do Tabocão,-9.05611,-48.5206,0,17,345,63,America/Sao_Paulo,TO,Tocantins
1844,6494be310417200165ceece1,5208152,Gameleira de Goiás,-16.4854,-48.6454,0,52,1072,62,America/Sao_Paulo,GO,Goiás
1894,6494be310417200165cefe84,1709005,Goiatins,-7.71478,-47.3252,0,17,9533,63,America/Sao_Paulo,TO,Tocantins
1944,6494be310417200165cee9a9,1301654,Guajará,-7.53797,-72.5907,0,13,967,97,America/Rio_Branco,AM,Amazonas
1994,6494be310417200165cefabd,4206603,Guarujá do Sul,-26.3858,-53.5296,0,42,8129,49,America/Sao_Paulo,SC,Santa Catarina
2044,6494be310417200165ceea70,2911907,Iaçu,-12.7666,-40.2056,0,29,3537,75,America/Sao_Paulo,BA,Bahia
2094,6494be310417200165cef61e,4109906,Icaraíma,-23.3944,-53.615,0,41,7593,44,America/Sao_Paulo,PR,Paraná
2144,6494be310417200165cefac7,4207403,Imbuia,-27.4908,-49.4218,0,42,8145,47,America/Sao_Paulo,SC,Santa Catarina
2194,6494be310417200165cefcbb,3521150,Ipiguá,-20.6557,-49.3842,0,35,800,17,America/Sao_Paulo,SP,São Paulo
2244,6494be310417200165ceecf8,5210307,Israelândia,-16.3144,-50.9087,0,52,9401,64,America/Sao_Paulo,GO,Goiás
2294,6494be310417200165cef73c,3302056,Italva,-21.4296,-41.7014,0,33,5929,22,America/Sao_Paulo,RJ,Rio de Janeiro
2344,6494be310417200165ceeaa2,2916609,Itapitanga,-14.4139,-39.5657,0,29,3633,73,America/Sao_Paulo,BA,Bahia
2394,6494be310417200165cefcd6,3523602,Itirapina,-22.2562,-47.8166,0,35,6573,19,America/Sao_Paulo,SP,São Paulo
2444,6494be310417200165ceeaae,2917508,Jacobina,-11.1812,-40.5117,0,29,3651,74,America/Sao_Paulo,BA,Bahia
2494,6494be310417200165cef44e,2607950,Jaqueira,-8.72618,-35.7942,0,26,548,81,America/Sao_Paulo,PE,Pernambuco
2544,6494be310417200165cef838,1100122,Ji-Paraná,-10.8777,-61.9322,0,11,5,69,America/Porto_Velho,RO,Rondônia
2594,6494be310417200165ceeff8,3136702,Juiz de Fora,-21.7595,-43.3398,0,31,4733,32,America/Sao_Paulo,MG,Minas Gerais
2644,6494be310417200165cef37b,2508109,Lagoa,-6.58572,-37.9127,0,25,2063,83,America/Sao_Paulo,PB,Paraíba
2694,6494be310417200165cef7c2,2406700,Lajes,-5.69322,-36.247,0,24,1733,84,America/Sao_Paulo,RN,Rio Grande do Norte
2744,6494be310417200165cef64c,4113452,Lindoeste,-25.2596,-53.5733,0,41,9959,45,America/Sao_Paulo,PR,Paraná
2794,6494be310417200165cee9d5,1600303,Macapá,0.034934,-51.0694,1,16,605,96,America/Sao_Paulo,AP,Amapá
2844,6494be310417200165cee9b5,1302553,Manaquiri,-3.44078,-60.4612,0,13,9839,92,America/Porto_Velho,AM,Amazonas
2894,6494be310417200165cee9b8,1302801,Maraã,-1.85313,-65.573,0,13,259,97,America/Porto_Velho,AM,Amazonas
2944,6494be310417200165ceed11,5212907,Marzagão,-17.983,-48.6415,0,52,9453,64,America/Sao_Paulo,GO,Goiás
2994,6494be310417200165cee9d6,1600402,Mazagão,-0.11336,-51.2891,0,16,607,96,America/Sao_Paulo,AP,Amapá
3044,6494be310417200165cef1dd,5005608,Miranda,-20.2355,-56.3746,0,50,9111,67,America/Porto_Velho,MS,Mato Grosso do Sul
3094,6494be310417200165cef043,3142809,Monte Alegre de Minas,-18.869,-48.881,0,31,4855,34,America/Sao_Paulo,MG,Minas Gerais
3144,6494be310417200165ceed1d,5213855,Morro Agudo de Goiás,-15.3184,-50.0553,0,52,9935,62,America/Sao_Paulo,GO,Goiás
3194,6494be310417200165cef023,3140159,Mário Campos,-20.0582,-44.1883,0,31,648,31,America/Sao_Paulo,MG,Minas Gerais
3244,6494be310417200165cef673,4116406,Nossa Senhora das Graças,-22.9129,-51.7978,0,41,7713,44,America/Sao_Paulo,PR,Paraná
3294,6494be310417200165cef74f,3303500,Nova Iguaçu,-22.7556,-43.4603,0,33,5869,21,America/Sao_Paulo,RJ,Rio de Janeiro
3344,6494be310417200165cef2d5,1505007,Nova Timboteua,-1.20874,-47.3921,0,15,499,91,America/Sao_Paulo,PA,Pará
3394,6494be310417200165cef53d,2207009,Oeiras,-7.01915,-42.1283,0,22,1139,89,America/Sao_Paulo,PI,Piauí
3444,6494be310417200165cef7d5,2408508,Ouro Branco,-6.6958,-36.9428,0,24,1769,84,America/Sao_Paulo,RN,Rio Grande do Norte
3494,6494be310417200165cef688,4117701,Palmeira,-25.4257,-50.007,0,41,7735,42,America/Sao_Paulo,PR,Paraná
3544,6494be310417200165cefd5c,3535903,Paranapuã,-20.1048,-50.5886,0,35,6819,17,America/Sao_Paulo,SP,São Paulo
3594,6494be310417200165cef7dc,2409209,Passagem,-6.27268,-35.37,0,24,1783,84,America/Sao_Paulo,RN,Rio Grande do Norte
3644,6494be310417200165cef694,4118808,Peabiru,-23.914,-52.3431,0,41,7757,44,America/Sao_Paulo,PR,Paraná
3694,6494be310417200165ceee08,2108306,Penalva,-3.27674,-45.1768,0,21,863,98,America/Sao_Paulo,MA,Maranhão
3744,6494be310417200165cef7e4,2410009,Pilões,-6.26364,-38.0461,0,24,1799,84,America/Sao_Paulo,RN,Rio Grande do Norte
3794,6494be310417200165cef0ab,3151008,Piranguinho,-22.395,-45.5324,0,31,5019,35,America/Sao_Paulo,MG,Minas Gerais
3844,6494be310417200165cef3aa,2512002,Pocinhos,-7.06658,-36.0668,0,25,2141,83,America/Sao_Paulo,PB,Paraíba
3894,6494be310417200165cef554,2208551,Porto Alegre do Piauí,-6.96423,-44.1837,0,22,372,89,America/Sao_Paulo,PI,Piauí
3944,6494be310417200165cefbb0,2805406,Poço Redondo,-9.80616,-37.6833,0,28,3207,79,America/Sao_Paulo,SE,Sergipe
3994,6494be310417200165ceee16,2109304,Presidente Vargas,-3.40787,-44.0234,0,21,883,98,America/Sao_Paulo,MA,Maranhão
4044,6494be310417200165cef6b5,4121109,Quinta do Sol,-23.8533,-52.1309,0,41,7799,44,America/Sao_Paulo,PR,Paraná
4094,6494be310417200165cef262,5107156,Reserva do Cabaçal,-15.0743,-58.4585,0,51,9879,65,America/Porto_Velho,MT,Mato Grosso
4144,6494be310417200165cef264,5107198,Ribeirãozinho,-16.4856,-52.6924,0,51,99,66,America/Porto_Velho,MT,Mato Grosso
4194,6494be310417200165cefeba,1718659,Rio da Conceição,-11.3949,-46.8847,0,17,323,63,America/Sao_Paulo,TO,Tocantins
4244,6494be310417200165cef0e5,3156452,Rosário da Limeira,-20.9812,-42.5112,0,31,698,32,America/Sao_Paulo,MG,Minas Gerais
4294,6494be310417200165cef6ce,4123006,Salto do Lontra,-25.7813,-53.3135,0,41,7837,46,America/Sao_Paulo,PR,Paraná
4344,6494be310417200165cef0f3,3157401,Santa Cruz do Escalvado,-20.2372,-42.8169,0,31,5147,31,America/Sao_Paulo,MG,Minas Gerais
4394,6494be310417200165cef9d2,4316907,Santa Maria,-29.6868,-53.8149,0,43,8841,55,America/Sao_Paulo,RS,Rio Grande do Sul
4444,6494be310417200165cef9d5,4317251,Santa Tereza,-29.1655,-51.7351,0,43,5995,54,America/Sao_Paulo,RS,Rio Grande do Sul
4494,6494be310417200165cefbbc,2806602,Santo Amaro das Brotas,-10.7892,-37.0564,0,28,3231,79,America/Sao_Paulo,SE,Sergipe
4544,6494be310417200165cefde6,3548401,Santópolis do Aguapeí,-21.6376,-50.5044,0,35,7069,18,America/Sao_Paulo,SP,São Paulo
4594,6494be310417200165cee98a,2708956,Senador Rui Palmeira,-9.46986,-37.4576,0,27,2891,82,America/Sao_Paulo,AL,Alagoas
4644,6494be310417200165ceeb56,2930600,Serrolândia,-11.4085,-40.2983,0,29,3911,74,America/Sao_Paulo,BA,Bahia
4694,6494be310417200165ceec27,2313005,Solonópole,-5.71894,-39.0107,0,23,1561,88,America/Sao_Paulo,CE,Ceará
4744,6494be310417200165cefdeb,3548906,São Carlos,-22.0174,-47.886,0,35,7079,16,America/Sao_Paulo,SP,São Paulo
4794,6494be310417200165cef2fe,1507300,São Félix do Xingu,-6.64254,-51.9904,0,15,545,94,America/Sao_Paulo,PA,Pará
4844,6494be310417200165cef3d2,2514552,São José de Princesa,-7.73633,-38.0894,0,25,528,83,America/Sao_Paulo,PB,Paraíba
4894,6494be310417200165cef861,1400506,São João da Baliza,0.951659,-59.9133,0,14,313,95,America/Porto_Velho,RR,Roraima
4944,6494be310417200165cef576,2210359,São Lourenço do Piauí,-9.16463,-42.5496,0,22,2265,89,America/Sao_Paulo,PI,Piauí
4994,6494be310417200165cef802,2412708,São Pedro,-5.90559,-35.6317,0,24,1851,84,America/Sao_Paulo,RN,Rio Grande do Norte
5044,6494be310417200165ceed65,5220405,São Simão,-18.996,-50.547,0,52,9605,64,America/Sao_Paulo,GO,Goiás
5094,6494be310417200165cefe19,3553203,Taiúva,-21.1223,-48.4528,0,35,7165,16,America/Sao_Paulo,SP,São Paulo
5144,6494be310417200165cefe23,3553955,Tarumã,-22.7429,-50.5786,0,35,7267,18,America/Sao_Paulo,SP,São Paulo
5194,6494be310417200165cefe29,3554508,Tietê,-23.1101,-47.7164,0,35,7191,15,America/Sao_Paulo,SP,São Paulo
5244,6494be310417200165ceed6f,5221403,Trindade,-16.6517,-49.4927,0,52,9625,62,America/Sao_Paulo,GO,Goiás
5294,6494be310417200165cef710,4127957,Tupãssi,-24.5879,-53.5105,0,41,7993,44,America/Sao_Paulo,PR,Paraná
5344,6494be310417200165cefa3b,4322350,União da Serra,-28.7833,-52.0238,0,43,5999,54,America/Sao_Paulo,RS,Rio Grande do Sul
5394,6494be310417200165cef195,3170578,Vargem Alegre,-19.5988,-42.2949,0,31,746,33,America/Sao_Paulo,MG,Minas Gerais
5444,6494be310417200165cefa4a,4323200,Victor Graeff,-28.5632,-52.7495,0,43,8969,54,America/Sao_Paulo,RS,Rio Grande do Sul
5494,6494be310417200165ceec37,2314102,Viçosa do Ceará,-3.5667,-41.0916,0,23,1583,88,America/Sao_Paulo,CE,Ceará
5544,6494be310417200165cee9e3,2900405,Água Fria,-11.8618,-38.7639,0,29,3307,75,America/Sao_Paulo,BA,Bahia
