index,_id,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_uf
30,6494be310417200165cef590,4100202,Adrianópolis,-24.6606,-48.9922,0,41,7403,41,America/Sao_Paulo,PR,Paraná
80,6494be310417200165ceee66,3101631,Alfredo Vasconcelos,-21.1535,-43.7718,0,31,2681,32,America/Sao_Paulo,MG,Minas Gerais
130,6494be310417200165ceec3e,3200359,Alto Rio Novo,-19.0618,-41.0209,0,32,5719,27,America/Sao_Paulo,ES,Espírito Santo
180,6494be310417200165cefbdd,3502002,Analândia,-22.1289,-47.6619,0,35,6139,19,America/Sao_Paulo,SP,São Paulo
230,6494be310417200165ceec96,5201108,Anápolis,-16.3281,-48.953,0,52,9221,62,America/Sao_Paulo,GO,Goiás
280,6494be310417200165ceed8d,2100956,Arame,-4.88347,-46.0032,0,21,1281,99,America/Sao_Paulo,MA,Maranhão
330,6494be310417200165cefbee,3503406,Arealva,-22.031,-48.9135,0,35,6167,14,America/Sao_Paulo,SP,São Paulo
380,6494be310417200165cee92e,2700409,Atalaia,-9.5119,-36.0086,0,27,2707,82,America/Sao_Paulo,AL,Alagoas
430,6494be310417200165cefa6f,4202057,Balneário Barra do Sul,-26.4597,-48.6123,0,42,5549,47,America/Sao_Paulo,SC,Santa Catarina
480,6494be310417200165cef20a,5101803,Barra do Garças,-15.8804,-52.264,0,51,9035,66,America/Porto_Velho,MT,Mato Grosso
530,6494be310417200165cef32f,2501807,Bayeux,-7.1238,-34.9293,0,25,1937,83,America/Sao_Paulo,PB,Paraíba
580,6494be310417200165cef4c9,2201705,Bertolínia,-7.63338,-43.9498,0,22,1033,89,America/Sao_Paulo,PI,Piauí
630,6494be310417200165cefc15,3507001,Boituva,-23.2855,-47.6786,0,35,6239,15,America/Sao_Paulo,SP,São Paulo
680,6494be310417200165cef29d,1501600,Bonito,-1.36745,-47.3066,0,15,431,91,America/Sao_Paulo,PA,Pará
730,6494be310417200165ceeda1,2102101,Brejo,-3.67796,-42.7527,0,21,739,98,America/Sao_Paulo,MA,Maranhão
