index,_id,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_uf
0,6494be310417200165ceec87,5200050,Abadia de Goiás,-16.7573,-49.4412,0,52,1050,62,America/Sao_Paulo,GO,Goiás
50,6494be310417200165cee9e4,2900603,Aiquara,-14.1269,-39.8937,0,29,3311,73,America/Sao_Paulo,BA,Bahia
100,6494be310417200165cef28e,1500602,Altamira,-3.20407,-52.21,0,15,411,93,America/Sao_Paulo,PA,Pará
150,6494be310417200165cef1ad,5000609,Amambai,-23.1058,-55.2253,0,50,9011,67,America/Porto_Velho,MS,Mato Grosso do Sul
200,6494be310417200165ceee74,3102852,Angelândia,-17.7279,-42.2641,0,31,566,33,America/Sao_Paulo,MG,Minas Gerais
250,6494be310417200165ceeb8a,2300903,Apuiarés,-3.94506,-39.4359,0,23,1317,85,America/Sao_Paulo,CE,Ceará
300,6494be310417200165ceed8e,2101004,Arari,-3.45214,-44.7665,0,21,719,98,America/Sao_Paulo,MA,Maranhão
350,6494be310417200165cef4bb,2200905,Aroazes,-6.11022,-41.7822,0,22,1017,89,America/Sao_Paulo,PI,Piauí
400,6494be310417200165cefbf9,3504404,Avanhandava,-21.4584,-49.9509,0,35,6187,18,America/Sao_Paulo,SP,São Paulo
450,6494be310417200165cef32b,2501534,Baraúna,-6.63484,-36.2601,0,25,452,83,America/Sao_Paulo,PB,Paraíba
500,6494be310417200165cef405,2601409,Barreiros,-8.81605,-35.1832,0,26,2327,81,America/Sao_Paulo,PE,Pernambuco
550,6494be310417200165cef408,2601706,Belo Jardim,-8.3313,-36.4258,0,26,2333,81,America/Sao_Paulo,PE,Pernambuco
600,6494be310417200165cef5b4,4103024,Boa Esperança do Iguaçu,-25.6324,-53.2108,0,41,5471,46,America/Sao_Paulo,PR,Paraná
650,6494be310417200165cef20b,5101852,Bom Jesus do Araguaia,-12.1706,-51.5032,0,51,1078,66,America/Porto_Velho,MT,Mato Grosso
700,6494be310417200165cefc1c,3507506,Botucatu,-22.8837,-48.4437,0,35,6249,14,America/Sao_Paulo,SP,São Paulo
750,6494be310417200165ceeeb6,3109006,Brumadinho,-20.151,-44.2007,0,31,4179,31,America/Sao_Paulo,MG,Minas Gerais
800,6494be310417200165cef89f,4302907,Cacequi,-29.8883,-54.822,0,43,8557,55,America/Sao_Paulo,RS,Rio Grande do Sul
850,6494be310417200165cef78f,2401909,Caiçara do Rio do Vento,-5.76541,-35.9938,0,24,1637,84,America/Sao_Paulo,RN,Rio Grande do Norte
900,6494be310417200165ceecb8,5204607,Campestre de Goiás,-16.7624,-49.695,0,52,9291,62,America/Sao_Paulo,GO,Goiás
950,6494be310417200165cefe69,1703842,Campos Lindos,-7.98956,-46.8645,0,17,173,63,America/Sao_Paulo,TO,Tocantins
1000,6494be310417200165ceeed7,3111804,Canápolis,-18.7212,-49.2035,0,31,4235,34,America/Sao_Paulo,MG,Minas Gerais
1050,6494be310417200165cee9a1,1301001,Carauari,-4.88161,-66.9086,0,13,221,97,America/Porto_Velho,AM,Amazonas
1100,6494be310417200165ceedae,2102804,Carolina,-7.33584,-47.4634,0,21,753,99,America/Sao_Paulo,MA,Maranhão
1150,6494be310417200165ceeeff,3115474,Catuti,-15.3616,-42.9627,0,31,586,38,America/Sao_Paulo,MG,Minas Gerais
1200,6494be310417200165ceef06,3116100,Chapada do Norte,-17.0881,-42.5392,0,31,4321,33,America/Sao_Paulo,MG,Minas Gerais
1250,6494be310417200165ceedb7,2103307,Codó,-4.45562,-43.8924,0,21,763,99,America/Sao_Paulo,MA,Maranhão
1300,6494be310417200165cefc50,3512209,Conchal,-22.3375,-47.1729,0,35,6345,19,America/Sao_Paulo,SP,São Paulo
1350,6494be310417200165cef8d8,4305871,Coronel Barros,-28.3921,-54.0686,0,43,6055,55,America/Sao_Paulo,RS,Rio Grande do Sul
1400,6494be310417200165ceef35,3120201,Cristais,-20.8733,-45.5167,0,31,4403,35,America/Sao_Paulo,MG,Minas Gerais
1450,6494be310417200165cefaa2,4204707,Cunha Porã,-26.895,-53.1662,0,42,8091,49,America/Sao_Paulo,SC,Santa Catarina
1500,6494be310417200165ceef40,3121100,Delfim Moreira,-22.5036,-45.2792,0,31,4421,35,America/Sao_Paulo,MG,Minas Gerais
1550,6494be310417200165cefe7b,1707207,Dois Irmãos do Tocantins,-9.25534,-49.0638,0,17,9345,63,America/Sao_Paulo,TO,Tocantins
1600,6494be310417200165cefc69,3514601,Dumont,-21.2324,-47.9756,0,35,6393,16,America/Sao_Paulo,SP,São Paulo
1650,6494be310417200165cef8f8,4307054,Ernestina,-28.4977,-52.5836,0,43,8415,54,America/Sao_Paulo,RS,Rio Grande do Sul
1700,6494be310417200165cef364,2506103,Fagundes,-7.34454,-35.7931,0,25,2023,83,America/Sao_Paulo,PB,Paraíba
