index,_id,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_uf
22,6494be310417200165cef864,4300034,Aceguá,-31.8665,-54.1615,0,43,1118,53,America/Sao_Paulo,RS,Rio Grande do Sul
72,6494be310417200165cef4b3,2200277,Alegrete do Piauí,-7.24196,-40.8566,0,22,2269,89,America/Sao_Paulo,PI,Piauí
122,6494be310417200165cef200,5100508,Alto Paraguai,-14.5137,-56.4776,0,51,9009,65,America/Porto_Velho,MT,Mato Grosso
172,6494be310417200165cee9ea,2901155,América Dourada,-11.4429,-41.439,0,29,3071,74,America/Sao_Paulo,BA,Bahia
222,6494be310417200165cefa63,4201208,Antônio Carlos,-27.5191,-48.766,0,42,8023,48,America/Sao_Paulo,SC,Santa Catarina
272,6494be310417200165ceee7b,3103504,Araguari,-18.6456,-48.1934,0,31,4069,34,America/Sao_Paulo,MG,Minas Gerais
322,6494be310417200165ceee7a,3103405,Araçuaí,-16.8523,-42.0637,0,31,4067,33,America/Sao_Paulo,MG,Minas Gerais
372,6494be310417200165cef5a7,4101903,Assaí,-23.3697,-50.8459,0,41,7437,43,America/Sao_Paulo,PR,Paraná
422,6494be310417200165cef4c0,2201150,Baixa Grande do Ribeiro,-7.84903,-45.219,0,22,2245,89,America/Sao_Paulo,PI,Piauí
472,6494be310417200165cee92f,2700508,Barra de Santo Antônio,-9.4023,-35.5101,0,27,2709,82,America/Sao_Paulo,AL,Alagoas
522,6494be310417200165cefc08,3505807,Bastos,-21.921,-50.7357,0,35,6215,14,America/Sao_Paulo,SP,São Paulo
572,6494be310417200165ceed9b,2101905,Bequimão,-2.44162,-44.7842,0,21,737,98,America/Sao_Paulo,MA,Maranhão
622,6494be310417200165ceeea2,3107208,Bocaina de Minas,-22.1697,-44.3972,0,31,4143,32,America/Sao_Paulo,MG,Minas Gerais
672,6494be310417200165ceeeab,3108107,Bonfim,-20.3302,-44.2366,0,31,4161,31,America/Sao_Paulo,MG,Minas Gerais
722,6494be310417200165cefa83,4202800,Braço do Norte,-28.2681,-49.1701,0,42,8053,48,America/Sao_Paulo,SC,Santa Catarina
772,6494be310417200165ceecaf,5203962,Buritinópolis,-14.4772,-46.4076,0,52,61,62,America/Sao_Paulo,GO,Goiás
822,6494be310417200165cef342,2503555,Cacimbas,-7.20721,-37.0604,0,25,460,83,America/Sao_Paulo,PB,Paraíba
872,6494be310417200165cef418,2603306,Calçado,-8.73108,-36.3366,0,26,2365,87,America/Sao_Paulo,PE,Pernambuco
922,6494be310417200165cefa8c,4203402,Campo Belo do Sul,-27.8975,-50.7595,0,42,8065,49,America/Sao_Paulo,SC,Santa Catarina
972,6494be310417200165ceeed8,3112000,Candeias,-20.7692,-45.2765,0,31,4239,35,America/Sao_Paulo,MG,Minas Gerais
1022,6494be310417200165cef4e1,2202455,Capitão Gervásio Oliveira,-8.49655,-41.814,0,22,296,89,America/Sao_Paulo,PI,Piauí
1072,6494be310417200165ceeba5,2303204,Caririaçu,-7.02808,-39.2828,0,23,1363,88,America/Sao_Paulo,CE,Ceará
1122,6494be310417200165cef2aa,1502400,Castanhal,-1.29797,-47.9167,0,15,447,91,America/Sao_Paulo,PA,Pará
1172,6494be310417200165cef8c4,4305116,Centenário,-27.7615,-51.9984,0,43,5963,54,America/Sao_Paulo,RS,Rio Grande do Sul
1222,6494be310417200165ceef04,3115904,Chácara,-21.6733,-43.215,0,31,4317,32,America/Sao_Paulo,MG,Minas Gerais
1272,6494be310417200165cef4eb,2202752,Colônia do Gurguéia,-8.1837,-43.794,0,22,2249,89,America/Sao_Paulo,PI,Piauí
1322,6494be310417200165ceef22,3118502,Consolação,-22.5493,-45.9255,0,31,4369,35,America/Sao_Paulo,MG,Minas Gerais
1372,6494be310417200165cefc55,3512704,Corumbataí,-22.2213,-47.6215,0,35,6355,19,America/Sao_Paulo,SP,São Paulo
1422,6494be310417200165cef8e0,4306106,Cruz Alta,-28.645,-53.6048,0,43,8619,55,America/Sao_Paulo,RS,Rio Grande do Sul
1472,6494be310417200165cef220,5103437,Curvelândia,-15.6084,-57.9133,0,51,1084,65,America/Porto_Velho,MT,Mato Grosso
1522,6494be310417200165cef222,5103502,Diamantino,-14.4037,-56.4366,0,51,9069,65,America/Porto_Velho,MT,Mato Grosso
1572,6494be310417200165cefaa7,4205100,Dona Emma,-26.981,-49.7261,0,42,8099,47,America/Sao_Paulo,SC,Santa Catarina
1622,6494be310417200165cefc6f,3515004,Embu das Artes,-23.6437,-46.8579,0,35,6401,11,America/Sao_Paulo,SP,São Paulo
1672,6494be310417200165cefc73,3515186,Espírito Santo do Pinhal,-22.1909,-46.7477,0,35,6865,19,America/Sao_Paulo,SP,São Paulo
1722,6494be310417200165ceedc2,2104073,Feira Nova do Maranhão,-6.96508,-46.6786,0,21,156,99,America/Sao_Paulo,MA,Maranhão
1772,6494be310417200165cefaae,4205407,Florianópolis,-27.5945,-48.5477,1,42,8105,48,America/Sao_Paulo,SC,Santa Catarina
1822,6494be310417200165cef365,2506202,Frei Martinho,-6.39759,-36.4526,0,25,2025,83,America/Sao_Paulo,PB,Paraíba
1872,6494be310417200165cef508,2204402,Gilbués,-9.83001,-45.3423,0,22,1087,89,America/Sao_Paulo,PI,Piauí
1922,6494be310417200165cef91a,4309126,Gramado dos Loureiros,-27.4429,-52.9149,0,43,5949,54,America/Sao_Paulo,RS,Rio Grande do Sul
1972,6494be310417200165cef616,4109302,Guaraniaçu,-25.0968,-52.8755,0,41,7581,45,America/Sao_Paulo,PR,Paraná
2022,6494be310417200165cef922,4307104,Herval,-32.024,-53.3944,0,43,8639,53,America/Sao_Paulo,RS,Rio Grande do Sul
2072,6494be310417200165cef43f,2606705,Ibirajuba,-8.57633,-36.1812,0,26,2433,87,America/Sao_Paulo,PE,Pernambuco
2122,6494be310417200165ceefad,3130309,Iguatama,-20.1776,-45.7111,0,31,4605,37,America/Sao_Paulo,MG,Minas Gerais
2172,6494be310417200165ceefb5,3130903,Inhapim,-19.5476,-42.1147,0,31,4617,33,America/Sao_Paulo,MG,Minas Gerais
2222,6494be310417200165cef628,4110656,Iracema do Oeste,-24.4262,-53.3528,0,41,5485,44,America/Sao_Paulo,PR,Paraná
2272,6494be310417200165ceecfa,5210562,Itaguari,-15.918,-49.6071,0,52,9919,62,America/Sao_Paulo,GO,Goiás
2322,6494be310417200165cefcc7,3522208,Itapecerica da Serra,-23.7161,-46.8572,0,35,6545,11,America/Sao_Paulo,SP,São Paulo
2372,6494be310417200165ceefd2,3133709,Itatiaiuçu,-20.1983,-44.4211,0,31,4673,31,America/Sao_Paulo,MG,Minas Gerais
2422,6494be310417200165cef93c,4310751,Ivorá,-29.5232,-53.5842,0,43,7395,55,America/Sao_Paulo,RS,Rio Grande do Sul
2472,6494be310417200165ceefe3,3135100,Janaúba,-15.8022,-43.3132,0,31,4701,38,America/Sao_Paulo,MG,Minas Gerais
2522,6494be310417200165cef232,5105002,Jauru,-15.3342,-58.8723,0,51,8991,65,America/Porto_Velho,MT,Mato Grosso
2572,6494be310417200165cef517,2205359,João Costa,-8.50736,-42.4264,0,22,326,89,America/Sao_Paulo,PI,Piauí
2622,6494be310417200165ceeabb,2918555,Jussari,-15.192,-39.491,0,29,3069,73,America/Sao_Paulo,BA,Bahia
2672,6494be310417200165cef521,2205581,Lagoa do Piauí,-5.41864,-42.6437,0,22,340,86,America/Sao_Paulo,PI,Piauí
2722,6494be310417200165cef00a,3138302,Leandro Ferreira,-19.7193,-45.0279,0,31,4765,37,America/Sao_Paulo,MG,Minas Gerais
2772,6494be310417200165cefaec,4210001,Luiz Alves,-26.7151,-48.9322,0,42,8197,47,America/Sao_Paulo,SC,Santa Catarina
2822,6494be310417200165ceead0,2920007,Maiquinique,-15.624,-40.2587,0,29,3701,77,America/Sao_Paulo,BA,Bahia
2872,6494be310417200165cefd0b,3528700,Marabá Paulista,-22.1068,-51.9617,0,35,6675,18,America/Sao_Paulo,SP,São Paulo
2922,6494be310417200165ceec67,3203353,Marilândia,-19.4114,-40.5456,0,32,5707,27,America/Sao_Paulo,ES,Espírito Santo
2972,6494be310417200165cef95e,4312153,Mato Leitão,-29.5285,-52.1278,0,43,6031,51,America/Sao_Paulo,RS,Rio Grande do Sul
3022,6494be310417200165ceedf1,2106672,Milagres do Maranhão,-3.57443,-42.6131,0,21,198,98,America/Sao_Paulo,MA,Maranhão
3072,6494be310417200165cefd20,3530607,Mogi das Cruzes,-23.5208,-46.1854,0,35,6713,11,America/Sao_Paulo,SP,São Paulo
3122,6494be310417200165cef966,4312401,Montenegro,-29.6824,-51.4679,0,43,8749,51,America/Sao_Paulo,RS,Rio Grande do Sul
