index,_id,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_uf
32,6494be310417200165cef3f7,2600104,Afogados da Ingazeira,-7.74312,-37.631,0,26,2301,87,America/Sao_Paulo,PE,Pernambuco
82,6494be310417200165cef31d,2500577,Algodão de Jandaíra,-6.89292,-36.0129,0,25,442,83,America/Sao_Paulo,PB,Paraíba
132,6494be310417200165cef201,5100607,Alto Taquari,-17.8241,-53.2792,0,51,9911,66,America/Porto_Velho,MT,Mato Grosso
182,6494be310417200165cef290,1500800,Ananindeua,-1.36391,-48.3743,0,15,415,91,America/Sao_Paulo,PA,Pará
232,6494be310417200165cef320,2500775,Aparecida,-6.78466,-38.0803,0,25,446,83,America/Sao_Paulo,PB,Paraíba
282,6494be310417200165cefbe9,3503109,Arandu,-23.1386,-49.0487,0,35,6161,14,America/Sao_Paulo,SP,São Paulo
332,6494be310417200165cef784,2401107,Areia Branca,-4.95254,-37.1252,0,24,1621,84,America/Sao_Paulo,RN,Rio Grande do Norte
382,6494be310417200165cee996,1300201,Atalaia do Norte,-4.37055,-70.1967,0,13,205,97,America/Rio_Branco,AM,Amazonas
432,6494be310417200165cefa71,4202073,Balneário Gaivota,-29.1527,-49.5841,0,42,890,48,America/Sao_Paulo,SC,Santa Catarina
482,6494be310417200165cef5ae,4102703,Barra do Jacaré,-23.116,-50.1842,0,41,7451,43,America/Sao_Paulo,PR,Paraná
532,6494be310417200165cef329,2501401,Baía da Traição,-6.69209,-34.9381,0,25,1929,83,America/Sao_Paulo,PB,Paraíba
582,6494be310417200165cee99b,1300631,Beruri,-3.89874,-61.3616,0,13,295,97,America/Porto_Velho,AM,Amazonas
632,6494be310417200165ceeea4,3107406,Bom Despacho,-19.7386,-45.2622,0,31,4147,37,America/Sao_Paulo,MG,Minas Gerais
682,6494be310417200165ceeead,3108255,Bonito de Minas,-15.3231,-44.7543,0,31,572,38,America/Sao_Paulo,MG,Minas Gerais
732,6494be310417200165cefb83,2800704,Brejo Grande,-10.4297,-36.4611,0,28,3113,79,America/Sao_Paulo,SE,Sergipe
782,6494be310417200165cee99f,1300839,Caapiranga,-3.31537,-61.2206,0,13,299,92,America/Porto_Velho,AM,Amazonas
832,6494be310417200165cef417,2603207,Caetés,-8.7803,-36.6268,0,26,2363,87,America/Sao_Paulo,PE,Pernambuco
882,6494be310417200165cef8a6,4303558,Camargo,-28.588,-52.2003,0,43,8447,54,America/Sao_Paulo,RS,Rio Grande do Sul
932,6494be310417200165cef4dc,2202174,Campo Largo do Piauí,-3.80441,-42.64,0,22,294,86,America/Sao_Paulo,PI,Piauí
982,6494be310417200165cefb85,2801108,Canhoba,-10.1365,-36.9806,0,28,3121,79,America/Sao_Paulo,SE,Sergipe
1032,6494be310417200165ceeee3,3112901,Caputira,-20.1703,-42.2683,0,31,4257,31,America/Sao_Paulo,MG,Minas Gerais
1082,6494be310417200165ceeeee,3114006,Carmo da Mata,-20.5575,-44.8735,0,31,4279,37,America/Sao_Paulo,MG,Minas Gerais
1132,6494be310417200165ceecc1,5205109,Catalão,-18.1656,-47.944,0,52,9301,64,America/Sao_Paulo,GO,Goiás
1182,6494be310417200165ceecc4,5205406,Ceres,-15.3061,-49.6,0,52,9307,62,America/Sao_Paulo,GO,Goiás
1232,6494be310417200165ceea3f,2907905,Cipó,-11.1032,-38.5179,0,29,3457,75,America/Sao_Paulo,BA,Bahia
