index,_id,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_uf
33,6494be310417200165cef77c,2400307,Afonso Bezerra,-5.49229,-36.5075,0,24,1605,84,America/Sao_Paulo,RN,Rio Grande do Norte
83,6494be310417200165cef31e,2500601,Alhandra,-7.42977,-34.9057,0,25,1911,83,America/Sao_Paulo,PB,Paraíba
133,6494be310417200165cef780,2400703,Alto do Rodrigues,-5.28186,-36.75,0,24,1613,84,America/Sao_Paulo,RN,Rio Grande do Norte
183,6494be310417200165cefe51,1701002,Ananás,-6.36437,-48.0735,0,17,9219,63,America/Sao_Paulo,TO,Tocantins
233,6494be310417200165cefbe2,3502507,Aparecida,-22.8495,-45.2325,0,35,6149,12,America/Sao_Paulo,SP,São Paulo
283,6494be310417200165ceee7c,3103603,Arantina,-21.9102,-44.2555,0,31,4071,32,America/Sao_Paulo,MG,Minas Gerais
333,6494be310417200165cefb80,2800506,Areia Branca,-10.758,-37.3251,0,28,3109,79,America/Sao_Paulo,SE,Sergipe
383,6494be310417200165cefa6c,4201802,Atalanta,-27.4219,-49.7789,0,42,8035,47,America/Sao_Paulo,SC,Santa Catarina
433,6494be310417200165cef882,4301636,Balneário Pinhal,-30.2419,-50.2337,0,43,954,51,America/Sao_Paulo,RS,Rio Grande do Sul
483,6494be310417200165ceea02,2903003,Barra do Mendes,-11.81,-42.059,0,29,3359,74,America/Sao_Paulo,BA,Bahia
533,6494be310417200165cefc0b,3506102,Bebedouro,-20.9491,-48.4791,0,35,6221,17,America/Sao_Paulo,SP,São Paulo
583,6494be310417200165ceee9d,3106705,Betim,-19.9668,-44.2008,0,31,4133,31,America/Sao_Paulo,MG,Minas Gerais
633,6494be310417200165ceed9e,2102002,Bom Jardim,-3.54129,-45.606,0,21,955,98,America/Sao_Paulo,MA,Maranhão
683,6494be310417200165cef337,2502409,Bonito de Santa Fé,-7.31341,-38.5133,0,25,1949,83,America/Sao_Paulo,PB,Paraíba
733,6494be310417200165cef2a0,1501758,Brejo Grande do Araguaia,-5.69822,-48.4103,0,15,577,94,America/Sao_Paulo,PA,Pará
783,6494be310417200165cef33c,2503001,Caaporã,-7.51351,-34.9055,0,25,1961,83,America/Sao_Paulo,PB,Paraíba
833,6494be310417200165ceea20,2905305,Cafarnaum,-11.6914,-41.4688,0,29,3405,74,America/Sao_Paulo,BA,Bahia
883,6494be310417200165ceea24,2905701,Camaçari,-12.6996,-38.3263,0,29,3413,71,America/Sao_Paulo,BA,Bahia
933,6494be310417200165cefc34,3509601,Campo Limpo Paulista,-23.2078,-46.7889,0,35,6293,11,America/Sao_Paulo,SP,São Paulo
983,6494be310417200165cef41d,2603702,Canhotinho,-8.87652,-36.1979,0,26,2373,87,America/Sao_Paulo,PE,Pernambuco
1033,6494be310417200165cefa91,4203253,Capão Alto,-27.9389,-50.5098,0,42,906,49,America/Sao_Paulo,SC,Santa Catarina
1083,6494be310417200165ceeeef,3114105,Carmo de Minas,-22.1204,-45.1307,0,31,4281,35,America/Sao_Paulo,MG,Minas Gerais
1133,6494be310417200165cefc45,3511102,Catanduva,-21.1314,-48.977,0,35,6323,17,America/Sao_Paulo,SP,São Paulo
1183,6494be310417200165cefc48,3511409,Cerqueira César,-23.038,-49.1655,0,35,6329,14,America/Sao_Paulo,SP,São Paulo
1233,6494be310417200165cef8d1,4305504,Ciríaco,-28.3419,-51.8741,0,43,8607,54,America/Sao_Paulo,RS,Rio Grande do Sul
