index,_id,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_uf
5,6494be310417200165ceeb80,2300101,Abaiara,-7.34588,-39.0416,0,23,1301,88,America/Sao_Paulo,CE,Ceará
55,6494be310417200165cef319,2500304,Alagoa Grande,-7.03943,-35.6206,0,25,1905,83,America/Sao_Paulo,PB,Paraíba
105,6494be310417200165cef3fe,2600807,Altinho,-8.48482,-36.0644,0,26,2315,81,America/Sao_Paulo,PE,Pernambuco
155,6494be310417200165cef870,4300638,Amaral Ferrador,-30.8756,-52.2509,0,43,8493,51,America/Sao_Paulo,RS,Rio Grande do Sul
205,6494be310417200165cef71e,3300100,Angra dos Reis,-23.0011,-44.3196,0,33,5801,24,America/Sao_Paulo,RJ,Rio de Janeiro
255,6494be310417200165cefa65,4201273,Arabutã,-27.1587,-52.1423,0,42,5597,49,America/Sao_Paulo,SC,Santa Catarina
305,6494be310417200165cef323,2501005,Araruna,-6.54848,-35.7498,0,25,1919,83,America/Sao_Paulo,PB,Paraíba
355,6494be310417200165cefe5b,1702406,Arraias,-12.9287,-46.9359,0,17,9247,63,America/Sao_Paulo,TO,Tocantins
405,6494be310417200165ceeca3,5202809,Avelinópolis,-16.4672,-49.7579,0,52,9255,64,America/Sao_Paulo,GO,Goiás
455,6494be310417200165cef5ad,4102505,Barbosa Ferraz,-24.0334,-52.004,0,41,7447,44,America/Sao_Paulo,PR,Paraná
505,6494be310417200165ceeca5,5203203,Barro Alto,-14.9658,-48.9086,0,52,9263,62,America/Sao_Paulo,GO,Goiás
555,6494be310417200165ceed99,2101731,Belágua,-3.15485,-43.5122,0,21,120,98,America/Sao_Paulo,MA,Maranhão
605,6494be310417200165cef5b5,4103040,Boa Ventura de São Roque,-24.8688,-51.6276,0,41,836,42,America/Sao_Paulo,PR,Paraná
655,6494be310417200165cef5b8,4103156,Bom Jesus do Sul,-26.1958,-53.5955,0,41,838,46,America/Sao_Paulo,PR,Paraná
705,6494be310417200165cef89b,4302600,Braga,-27.6173,-53.7405,0,43,8551,55,America/Sao_Paulo,RS,Rio Grande do Sul
755,6494be310417200165ceeeb7,3109105,Bueno Brandão,-22.4383,-46.3491,0,31,4181,35,America/Sao_Paulo,MG,Minas Gerais
805,6494be310417200165ceeda7,2102374,Cachoeira Grande,-2.93074,-44.0528,0,21,138,98,America/Sao_Paulo,MA,Maranhão
855,6494be310417200165cef344,2503704,Cajazeiras,-6.88004,-38.5577,0,25,1975,83,America/Sao_Paulo,PB,Paraíba
905,6494be310417200165cef5c5,4103909,Campina da Lagoa,-24.5893,-52.7976,0,41,7475,44,America/Sao_Paulo,PR,Paraná
955,6494be310417200165cef211,5102686,Campos de Júlio,-13.7242,-59.2858,0,51,1032,65,America/Porto_Velho,MT,Mato Grosso
1005,6494be310417200165cefb87,2801306,Capela,-10.5069,-37.0628,0,28,3125,79,America/Sao_Paulo,SE,Sergipe
1055,6494be310417200165ceea33,2906899,Caraíbas,-14.7177,-41.2603,0,29,3271,77,America/Sao_Paulo,BA,Bahia
1105,6494be310417200165cef422,2604106,Caruaru,-8.28455,-35.9699,0,26,2381,81,America/Sao_Paulo,PE,Pernambuco
1155,6494be310417200165cefa95,4204103,Caxambu do Sul,-27.1624,-52.8807,0,42,8079,49,America/Sao_Paulo,SC,Santa Catarina
1205,6494be310417200165cef1c1,5002951,Chapadão do Sul,-18.788,-52.6263,0,50,9787,67,America/Porto_Velho,MS,Mato Grosso do Sul
1255,6494be310417200165cef2ac,1502608,Colares,-0.936423,-48.2803,0,15,451,91,America/Sao_Paulo,PA,Pará
1305,6494be310417200165cef428,2604601,Condado,-7.58787,-35.0999,0,26,2391,81,America/Sao_Paulo,PE,Pernambuco
1355,6494be310417200165cefa9d,4204400,Coronel Freitas,-26.9057,-52.7011,0,42,8085,49,America/Sao_Paulo,SC,Santa Catarina
1405,6494be310417200165cefe76,1706100,Cristalândia,-10.5985,-49.1942,0,17,9323,63,America/Sao_Paulo,TO,Tocantins
1455,6494be310417200165cef4f2,2203206,Curimatá,-10.0326,-44.3002,0,22,1063,89,America/Sao_Paulo,PI,Piauí
1505,6494be310417200165cef221,5103452,Denise,-14.7324,-57.0583,0,51,9833,65,America/Porto_Velho,MT,Mato Grosso
1555,6494be310417200165cef223,5103601,Dom Aquino,-15.8099,-54.9223,0,51,9071,66,America/Porto_Velho,MT,Mato Grosso
1605,6494be310417200165cefc6a,3514700,Echaporã,-22.4326,-50.2038,0,35,6395,18,America/Sao_Paulo,SP,São Paulo
1655,6494be310417200165cef42f,2605202,Escada,-8.35672,-35.2241,0,26,2403,81,America/Sao_Paulo,PE,Pernambuco
1705,6494be310417200165ceebb8,2304301,Farias Brito,-6.92146,-39.5651,0,23,1387,88,America/Sao_Paulo,CE,Ceará
1755,6494be310417200165cefaad,4205357,Flor do Sertão,-26.7811,-53.3505,0,42,916,49,America/Sao_Paulo,SC,Santa Catarina
1805,6494be310417200165cef609,4108320,Francisco Alves,-24.0667,-53.8461,0,41,7977,44,America/Sao_Paulo,PR,Paraná
1855,6494be310417200165cefab6,4205902,Gaspar,-26.9336,-48.9534,0,42,8117,47,America/Sao_Paulo,SC,Santa Catarina
1905,6494be310417200165ceece9,5209150,Gouvelândia,-18.6238,-50.0805,0,52,9799,64,America/Sao_Paulo,GO,Goiás
1955,6494be310417200165cef614,4109104,Guaporema,-23.3402,-52.7786,0,41,7577,44,America/Sao_Paulo,PR,Paraná
2005,6494be310417200165ceef9c,3128808,Guidoval,-21.155,-42.7887,0,31,4575,32,America/Sao_Paulo,MG,Minas Gerais
2055,6494be310417200165cef36a,2506608,Ibiara,-7.47957,-38.4059,0,25,2033,83,America/Sao_Paulo,PB,Paraíba
2105,6494be310417200165cefcae,3520103,Igarapava,-20.0407,-47.7466,0,35,6503,16,America/Sao_Paulo,SP,São Paulo
2155,6494be310417200165cefcb4,3520509,Indaiatuba,-23.0816,-47.2101,0,35,6511,19,America/Sao_Paulo,SP,São Paulo
